datetime,value,wdir
2023-12-01 00:00:00,1.300,221.000
2023-12-01 01:00:00,1.800,225.000
2023-12-01 02:00:00,1.800,222.000
2023-12-01 03:00:00,1.600,220.000
2023-12-01 04:00:00,1.300,227.000
2023-12-01 05:00:00,1.700,238.000
2023-12-01 06:00:00,1.900,242.000
2023-12-01 07:00:00,1.800,243.000
2023-12-01 08:00:00,1.900,239.000
2023-12-01 09:00:00,2.000,240.000
2023-12-01 10:00:00,1.600,235.000
2023-12-01 11:00:00,1.400,231.000
2023-12-01 12:00:00,1.500,240.000
2023-12-01 13:00:00,1.500,235.000
2023-12-01 14:00:00,1.400,235.000
2023-12-01 15:00:00,1.300,223.000
2023-12-01 16:00:00,1.200,218.000
2023-12-01 17:00:00,1.500,227.000
2023-12-01 18:00:00,2.300,226.000
2023-12-01 19:00:00,2.200,215.000
2023-12-01 20:00:00,2.600,211.000
2023-12-01 21:00:00,3.400,222.000
2023-12-01 22:00:00,4.400,222.000
2023-12-01 23:00:00,4.800,223.000
2023-12-02 00:00:00,4.500,224.000
2023-12-02 01:00:00,4.700,224.000
2023-12-02 02:00:00,4.600,228.000
2023-12-02 03:00:00,4.500,226.000
2023-12-02 04:00:00,2.700,228.000
2023-12-02 05:00:00,3.200,224.000
2023-12-02 06:00:00,5.300,223.000
2023-12-02 07:00:00,4.700,225.000
2023-12-02 08:00:00,4.600,223.000
2023-12-02 09:00:00,4.700,219.000
2023-12-02 10:00:00,4.600,226.000
2023-12-02 11:00:00,4.600,219.000
2023-12-02 12:00:00,4.600,223.000
2023-12-02 13:00:00,4.300,216.000
2023-12-02 14:00:00,3.600,215.000
2023-12-02 15:00:00,4.400,219.000
2023-12-02 16:00:00,3.800,226.000
2023-12-02 17:00:00,3.400,218.000
2023-12-02 18:00:00,3.800,227.000
2023-12-02 19:00:00,4.900,225.000
2023-12-02 20:00:00,5.100,229.000
2023-12-02 21:00:00,5.200,230.000
2023-12-02 22:00:00,4.900,228.000
2023-12-02 23:00:00,5.000,228.000
2023-12-03 00:00:00,4.200,228.000
2023-12-03 01:00:00,3.600,226.000
2023-12-03 02:00:00,3.500,229.000
2023-12-03 03:00:00,3.200,231.000
2023-12-03 04:00:00,3.500,228.000
2023-12-03 05:00:00,3.100,230.000
2023-12-03 06:00:00,1.100,246.000
2023-12-03 07:00:00,0.900,237.000
2023-12-03 08:00:00,1.500,236.000
2023-12-03 09:00:00,1.200,239.000
2023-12-03 10:00:00,1.200,229.000
2023-12-03 11:00:00,1.800,224.000
2023-12-03 12:00:00,1.400,225.000
2023-12-03 13:00:00,0.700,246.000
2023-12-03 14:00:00,1.800,221.000
2023-12-03 15:00:00,1.000,234.000
2023-12-03 16:00:00,0.600,255.000
2023-12-03 17:00:00,0.700,244.000
2023-12-03 18:00:00,0.500,265.000
2023-12-03 19:00:00,0.800,296.000
2023-12-03 20:00:00,1.700,354.000
2023-12-03 21:00:00,2.000,357.000
2023-12-03 22:00:00,2.000,6.000
2023-12-03 23:00:00,2.400,13.000
2023-12-04 00:00:00,3.100,26.000
2023-12-04 01:00:00,3.000,26.000
2023-12-04 02:00:00,3.200,20.000
2023-12-04 03:00:00,3.100,13.000
2023-12-04 04:00:00,2.900,16.000
2023-12-04 05:00:00,3.300,17.000
2023-12-04 06:00:00,3.200,25.000
2023-12-04 07:00:00,3.100,22.000
2023-12-04 08:00:00,2.800,17.000
2023-12-04 09:00:00,2.900,15.000
2023-12-04 10:00:00,2.700,13.000
2023-12-04 11:00:00,2.700,20.000
2023-12-04 12:00:00,2.500,19.000
2023-12-04 13:00:00,2.800,27.000
2023-12-04 14:00:00,2.900,32.000
2023-12-04 15:00:00,3.200,40.000
2023-12-04 16:00:00,2.800,36.000
2023-12-04 17:00:00,3.200,38.000
2023-12-04 18:00:00,3.200,41.000
2023-12-04 19:00:00,3.200,51.000
2023-12-04 20:00:00,3.200,57.000
2023-12-04 21:00:00,3.400,57.000
