datetime,value
2022-04-16 11:00:00,1013.400
2022-04-16 12:00:00,1013.100
2022-04-16 13:00:00,1012.500
2022-04-16 14:00:00,1012.300
2022-04-16 15:00:00,1012.000
2022-04-17 06:00:00,1012.200
2022-04-17 07:00:00,1011.700
2022-04-17 08:00:00,1012.500
2022-04-17 09:00:00,1011.800
2022-04-17 10:00:00,1012.100
2022-04-17 11:00:00,1011.400
2022-04-17 12:00:00,1011.300
2022-04-17 13:00:00,1010.500
2022-04-17 14:00:00,1010.500
2022-04-17 15:00:00,1009.500
2022-04-18 06:00:00,1005.600
2022-04-18 07:00:00,1006.600
2022-04-18 08:00:00,1007.600
2022-04-18 09:00:00,1007.800
2022-04-18 10:00:00,1008.900
2022-04-18 11:00:00,1010.000
2022-04-18 12:00:00,1010.200
2022-04-18 13:00:00,1010.400
2022-04-18 14:00:00,1011.100
2022-04-18 15:00:00,1011.000
2022-04-19 06:00:00,1011.200
2022-04-19 07:00:00,1011.700
2022-04-19 08:00:00,1012.200
2022-04-19 09:00:00,1012.600
2022-04-19 10:00:00,1013.100
2022-04-19 11:00:00,1013.400
2022-04-19 12:00:00,1013.200
2022-04-19 13:00:00,1013.400
2022-04-19 14:00:00,1013.900
2022-04-19 15:00:00,1014.300
2022-04-20 06:00:00,1017.600
2022-04-20 07:00:00,1017.400
2022-04-20 08:00:00,1016.800
2022-04-20 09:00:00,1016.400
2022-04-20 10:00:00,1015.800
2022-04-20 11:00:00,1015.400
2022-04-20 12:00:00,1014.800
2022-04-20 13:00:00,1013.900
2022-04-20 14:00:00,1013.600
2022-04-20 15:00:00,1013.200
2022-04-21 06:00:00,1017.700
2022-04-21 07:00:00,1017.700
2022-04-21 08:00:00,1017.800
2022-04-21 09:00:00,1017.600
2022-04-21 10:00:00,1017.500
2022-04-21 11:00:00,1017.500
2022-04-21 12:00:00,1017.400
2022-04-21 13:00:00,1016.800
2022-04-21 14:00:00,1016.600
2022-04-21 15:00:00,1016.500
2022-04-22 06:00:00,1016.400
2022-04-22 07:00:00,1016.400
2022-04-22 08:00:00,1016.200
2022-04-22 09:00:00,1015.700
2022-04-22 10:00:00,1015.700
2022-04-22 11:00:00,1015.600
2022-04-22 12:00:00,1015.100
2022-04-22 13:00:00,1014.200
2022-04-22 14:00:00,1013.100
2022-04-22 15:00:00,1012.700
2022-04-23 06:00:00,1007.900
2022-04-23 07:00:00,1008.100
2022-04-23 08:00:00,1008.500
2022-04-23 09:00:00,1008.000
2022-04-23 10:00:00,1007.100
2022-04-23 11:00:00,1006.800
2022-04-23 12:00:00,1006.500
2022-04-23 13:00:00,1006.100
2022-04-23 14:00:00,1005.900
2022-04-23 15:00:00,1006.000
2022-04-24 06:00:00,1011.600
2022-04-24 07:00:00,1011.700
2022-04-24 08:00:00,1011.600
2022-04-24 09:00:00,1011.700
2022-04-24 10:00:00,1011.300
2022-04-24 11:00:00,1011.200
2022-04-24 12:00:00,1010.800
2022-04-24 13:00:00,1010.200
2022-04-24 14:00:00,1010.200
2022-04-24 15:00:00,1010.100
2022-04-25 06:00:00,1009.300
2022-04-25 07:00:00,1009.100
2022-04-25 08:00:00,1008.900
2022-04-25 09:00:00,1008.600
2022-04-25 10:00:00,1008.300
2022-04-25 11:00:00,1008.200
2022-04-25 12:00:00,1008.000
2022-04-25 13:00:00,1007.600
2022-04-25 14:00:00,1007.600
2022-04-25 15:00:00,1007.600
2022-04-26 06:00:00,1011.700
2022-04-26 07:00:00,1011.800
2022-04-26 08:00:00,1012.100
2022-04-26 09:00:00,1012.600
2022-04-26 10:00:00,1012.600
2022-04-26 11:00:00,1012.600
2022-04-26 12:00:00,1012.500
2022-04-26 13:00:00,1012.000
2022-04-26 14:00:00,1012.100
2022-04-26 15:00:00,1012.400
2022-04-27 06:00:00,1015.200
2022-04-27 07:00:00,1015.600
2022-04-27 08:00:00,1015.800
2022-04-27 09:00:00,1015.800
2022-04-27 10:00:00,1015.700
2022-04-27 11:00:00,1015.600
2022-04-27 12:00:00,1015.300
2022-04-27 13:00:00,1014.900
2022-04-27 14:00:00,1015.100
2022-04-27 15:00:00,1015.100
2022-04-28 00:00:00,
2022-04-28 01:00:00,
2022-04-28 02:00:00,
2022-04-28 03:00:00,
2022-04-28 04:00:00,
2022-04-28 05:00:00,
2022-04-28 06:00:00,1015.100
2022-04-28 07:00:00,1015.200
2022-04-28 08:00:00,1015.200
2022-04-28 09:00:00,1015.200
2022-04-28 10:00:00,1015.400
2022-04-28 11:00:00,1015.600
2022-04-28 12:00:00,1015.400
2022-04-28 13:00:00,1015.600
2022-04-28 14:00:00,1015.800
2022-04-28 15:00:00,1016.100
2022-04-28 16:00:00,
2022-04-28 17:00:00,
2022-04-28 18:00:00,
2022-04-28 19:00:00,
2022-04-28 20:00:00,
2022-04-28 21:00:00,
2022-04-28 22:00:00,
2022-04-28 23:00:00,
2022-04-29 00:00:00,
2022-04-29 01:00:00,
2022-04-29 02:00:00,
2022-04-29 03:00:00,
2022-04-29 04:00:00,
2022-04-29 05:00:00,
2022-04-29 06:00:00,1018.500
2022-04-29 07:00:00,1018.600
2022-04-29 08:00:00,1018.600
2022-04-29 09:00:00,1018.600
2022-04-29 10:00:00,1018.700
2022-04-29 11:00:00,1018.400
2022-04-29 12:00:00,1018.100
2022-04-29 13:00:00,1017.500
2022-04-29 14:00:00,1017.400
2022-04-29 15:00:00,1017.200
2022-04-29 16:00:00,
2022-04-29 17:00:00,
2022-04-29 18:00:00,
2022-04-29 19:00:00,
2022-04-29 20:00:00,
2022-04-29 21:00:00,
2022-04-29 22:00:00,
2022-04-29 23:00:00,
2022-04-30 00:00:00,
2022-04-30 01:00:00,
2022-04-30 02:00:00,
2022-04-30 03:00:00,
2022-04-30 04:00:00,
2022-04-30 05:00:00,
2022-04-30 06:00:00,1017.800
2022-04-30 07:00:00,1018.000
2022-04-30 08:00:00,1018.400
2022-04-30 09:00:00,1018.100
2022-04-30 10:00:00,1017.800
2022-04-30 11:00:00,1017.700
2022-04-30 12:00:00,1017.800
2022-04-30 13:00:00,1017.400
2022-04-30 14:00:00,1017.200
2022-04-30 15:00:00,1017.400
2022-04-30 16:00:00,
2022-04-30 17:00:00,
2022-04-30 18:00:00,
2022-04-30 19:00:00,
2022-04-30 20:00:00,
2022-04-30 21:00:00,
2022-04-30 22:00:00,
2022-04-30 23:00:00,
