datetime,value,wdir
2023-05-01 00:00:00,0.700,85.000
2023-05-01 01:00:00,0.800,290.000
2023-05-01 02:00:00,1.200,118.000
2023-05-01 03:00:00,0.800,82.000
2023-05-01 04:00:00,0.600,87.000
2023-05-01 05:00:00,0.900,7.000
2023-05-01 06:00:00,1.600,239.000
2023-05-01 07:00:00,1.700,201.000
2023-05-01 08:00:00,1.500,96.000
2023-05-01 09:00:00,2.000,232.000
2023-05-01 10:00:00,2.900,309.000
2023-05-01 11:00:00,3.800,347.000
2023-05-01 12:00:00,3.500,31.000
2023-05-01 13:00:00,2.900,41.000
2023-05-01 14:00:00,3.400,36.000
2023-05-01 15:00:00,3.000,44.000
2023-05-01 16:00:00,2.400,39.000
2023-05-01 17:00:00,2.200,50.000
2023-05-01 18:00:00,1.900,55.000
2023-05-01 19:00:00,1.500,76.000
2023-05-01 20:00:00,1.100,79.000
2023-05-01 21:00:00,1.200,107.000
2023-05-01 22:00:00,0.900,114.000
2023-05-01 23:00:00,1.100,99.000
2023-05-02 00:00:00,1.500,98.000
2023-05-02 01:00:00,1.900,77.000
2023-05-02 02:00:00,1.600,93.000
2023-05-02 03:00:00,1.400,89.000
2023-05-02 04:00:00,1.000,87.000
2023-05-02 05:00:00,1.200,108.000
2023-05-02 06:00:00,2.800,62.000
2023-05-02 07:00:00,3.500,59.000
2023-05-02 08:00:00,4.200,50.000
2023-05-02 09:00:00,4.100,47.000
2023-05-02 10:00:00,5.000,34.000
2023-05-02 11:00:00,4.900,38.000
2023-05-02 12:00:00,5.500,35.000
2023-05-02 13:00:00,4.900,45.000
2023-05-02 14:00:00,4.100,48.000
2023-05-02 15:00:00,3.500,55.000
2023-05-02 16:00:00,2.800,57.000
2023-05-02 17:00:00,2.000,48.000
2023-05-02 18:00:00,2.700,55.000
2023-05-02 19:00:00,2.700,63.000
2023-05-02 20:00:00,2.700,62.000
2023-05-02 21:00:00,1.900,86.000
2023-05-02 22:00:00,1.000,68.000
2023-05-02 23:00:00,0.700,250.000
2023-05-03 00:00:00,0.800,357.000
2023-05-03 01:00:00,1.200,193.000
2023-05-03 02:00:00,1.000,112.000
2023-05-03 03:00:00,1.500,168.000
2023-05-03 04:00:00,1.100,157.000
2023-05-03 05:00:00,1.900,85.000
2023-05-03 06:00:00,2.400,68.000
2023-05-03 07:00:00,2.500,44.000
2023-05-03 08:00:00,2.200,47.000
2023-05-03 09:00:00,1.900,63.000
2023-05-03 10:00:00,2.100,54.000
2023-05-03 11:00:00,2.500,34.000
2023-05-03 12:00:00,3.200,356.000
2023-05-03 13:00:00,3.700,7.000
2023-05-03 14:00:00,3.100,352.000
2023-05-03 15:00:00,2.000,14.000
2023-05-03 16:00:00,2.100,320.000
2023-05-03 17:00:00,1.500,264.000
2023-05-03 18:00:00,2.400,294.000
2023-05-03 19:00:00,2.900,312.000
2023-05-03 20:00:00,1.800,337.000
2023-05-03 21:00:00,1.700,304.000
2023-05-03 22:00:00,1.600,331.000
2023-05-03 23:00:00,2.600,320.000
2023-05-04 00:00:00,1.800,298.000
2023-05-04 01:00:00,2.100,275.000
2023-05-04 02:00:00,1.300,263.000
2023-05-04 03:00:00,1.100,35.000
2023-05-04 04:00:00,1.000,105.000
2023-05-04 05:00:00,1.100,4.000
2023-05-04 06:00:00,2.000,39.000
2023-05-04 07:00:00,2.000,67.000
2023-05-04 08:00:00,1.800,62.000
2023-05-04 09:00:00,1.400,31.000
2023-05-04 10:00:00,1.700,335.000
2023-05-04 11:00:00,2.400,323.000
2023-05-04 12:00:00,4.900,340.000
2023-05-04 13:00:00,4.600,348.000
2023-05-04 14:00:00,2.400,11.000
2023-05-04 15:00:00,1.500,47.000
2023-05-04 16:00:00,1.600,70.000
2023-05-04 17:00:00,1.800,63.000
2023-05-04 18:00:00,1.300,88.000
2023-05-04 19:00:00,0.800,89.000
2023-05-04 20:00:00,1.500,299.000
2023-05-04 21:00:00,1.100,301.000
2023-05-04 22:00:00,0.900,329.000
2023-05-04 23:00:00,1.800,12.000
2023-05-05 00:00:00,2.400,22.000
2023-05-05 01:00:00,2.500,8.000
2023-05-05 02:00:00,2.700,15.000
2023-05-05 03:00:00,2.900,24.000
2023-05-05 04:00:00,3.200,23.000
2023-05-05 05:00:00,3.200,20.000
2023-05-05 06:00:00,3.200,18.000
2023-05-05 07:00:00,2.800,25.000
2023-05-05 08:00:00,3.000,26.000
2023-05-05 09:00:00,3.600,11.000
2023-05-05 10:00:00,3.500,22.000
2023-05-05 11:00:00,3.400,20.000
2023-05-05 12:00:00,3.500,27.000
2023-05-05 13:00:00,4.000,28.000
2023-05-05 14:00:00,3.600,29.000
2023-05-05 15:00:00,2.500,42.000
2023-05-05 16:00:00,2.600,32.000
2023-05-05 17:00:00,2.800,15.000
2023-05-05 18:00:00,3.100,360.000
2023-05-05 19:00:00,2.200,20.000
2023-05-05 20:00:00,2.000,37.000
2023-05-05 21:00:00,2.300,26.000
2023-05-05 22:00:00,2.400,26.000
2023-05-05 23:00:00,2.200,37.000
2023-05-06 00:00:00,1.300,49.000
2023-05-06 01:00:00,2.100,12.000
2023-05-06 02:00:00,2.900,347.000
2023-05-06 03:00:00,3.600,12.000
2023-05-06 04:00:00,4.300,11.000
2023-05-06 05:00:00,4.100,42.000
2023-05-06 06:00:00,2.800,42.000
2023-05-06 07:00:00,3.600,32.000
2023-05-06 08:00:00,3.500,35.000
2023-05-06 09:00:00,2.900,34.000
2023-05-06 10:00:00,2.800,39.000
2023-05-06 11:00:00,3.100,37.000
2023-05-06 12:00:00,3.300,27.000
