datetime,value,wdir
2021-06-01 00:00:00,1.200,267.000
2021-06-01 01:00:00,2.100,354.000
2021-06-01 02:00:00,2.700,29.000
2021-06-01 03:00:00,2.800,16.000
2021-06-01 04:00:00,1.400,21.000
2021-06-01 05:00:00,1.400,358.000
2021-06-01 06:00:00,1.300,39.000
2021-06-01 07:00:00,1.400,188.000
2021-06-01 08:00:00,1.300,177.000
2021-06-01 09:00:00,1.800,23.000
2021-06-01 10:00:00,1.900,358.000
2021-06-01 11:00:00,1.800,328.000
2021-06-01 12:00:00,1.400,307.000
2021-06-01 13:00:00,2.900,160.000
2021-06-01 14:00:00,2.400,147.000
2021-06-01 15:00:00,4.300,168.000
2021-06-01 16:00:00,3.500,170.000
2021-06-01 17:00:00,2.200,176.000
2021-06-01 18:00:00,1.200,7.000
2021-06-01 19:00:00,1.000,3.000
2021-06-01 20:00:00,0.900,358.000
2021-06-01 21:00:00,1.000,25.000
2021-06-01 22:00:00,0.800,31.000
2021-06-01 23:00:00,0.800,5.000
2021-06-02 00:00:00,1.100,235.000
2021-06-02 01:00:00,1.100,271.000
2021-06-02 02:00:00,1.400,258.000
2021-06-02 03:00:00,1.500,257.000
2021-06-02 04:00:00,1.500,237.000
2021-06-02 05:00:00,2.300,247.000
2021-06-02 06:00:00,2.100,246.000
2021-06-02 07:00:00,1.600,212.000
2021-06-02 08:00:00,1.800,215.000
2021-06-02 09:00:00,1.400,129.000
2021-06-02 10:00:00,1.300,141.000
2021-06-02 11:00:00,1.400,148.000
2021-06-02 12:00:00,1.400,118.000
2021-06-02 13:00:00,1.200,222.000
2021-06-02 14:00:00,0.900,240.000
2021-06-02 15:00:00,0.800,169.000
2021-06-02 16:00:00,0.600,32.000
2021-06-02 17:00:00,1.100,16.000
2021-06-02 18:00:00,1.300,45.000
2021-06-02 19:00:00,1.200,39.000
2021-06-02 20:00:00,1.000,30.000
2021-06-02 21:00:00,0.800,45.000
2021-06-02 22:00:00,1.500,67.000
2021-06-02 23:00:00,1.500,73.000
