datetime,value,wdir
2023-09-01 00:00:00,0.400,348.000
2023-09-01 01:00:00,0.100,9.000
2023-09-01 02:00:00,0.200,326.000
2023-09-01 03:00:00,0.300,198.000
2023-09-01 04:00:00,0.300,306.000
2023-09-01 05:00:00,0.600,22.000
2023-09-01 06:00:00,1.300,32.000
2023-09-01 07:00:00,2.100,31.000
2023-09-01 08:00:00,2.600,34.000
2023-09-01 09:00:00,2.900,32.000
2023-09-01 10:00:00,4.400,35.000
2023-09-01 11:00:00,5.000,43.000
2023-09-01 12:00:00,5.000,40.000
2023-09-01 13:00:00,5.500,44.000
2023-09-01 14:00:00,5.200,43.000
2023-09-01 15:00:00,4.300,42.000
2023-09-01 16:00:00,3.000,36.000
2023-09-01 17:00:00,2.100,54.000
2023-09-01 18:00:00,2.000,67.000
2023-09-01 19:00:00,1.300,23.000
2023-09-01 20:00:00,1.100,18.000
2023-09-01 21:00:00,3.400,46.000
2023-09-01 22:00:00,3.500,50.000
2023-09-01 23:00:00,3.800,51.000
2023-09-02 00:00:00,3.300,54.000
2023-09-02 01:00:00,3.800,54.000
2023-09-02 02:00:00,4.700,40.000
2023-09-02 03:00:00,4.700,46.000
2023-09-02 04:00:00,6.200,37.000
2023-09-02 05:00:00,7.000,45.000
2023-09-02 06:00:00,7.700,40.000
2023-09-02 07:00:00,8.600,40.000
2023-09-02 08:00:00,8.100,39.000
2023-09-02 09:00:00,8.100,41.000
2023-09-02 10:00:00,8.400,40.000
2023-09-02 11:00:00,8.400,39.000
2023-09-02 12:00:00,8.000,40.000
2023-09-02 13:00:00,8.500,43.000
2023-09-02 14:00:00,8.600,43.000
2023-09-02 15:00:00,8.900,42.000
2023-09-02 16:00:00,7.800,46.000
2023-09-02 17:00:00,6.700,45.000
2023-09-02 18:00:00,7.200,48.000
2023-09-02 19:00:00,7.100,49.000
2023-09-02 20:00:00,6.800,50.000
2023-09-02 21:00:00,6.500,40.000
2023-09-02 22:00:00,6.200,35.000
2023-09-02 23:00:00,6.100,33.000
