datetime,value,wdir
2020-07-01 00:00:00,0.900,15.000
2020-07-01 01:00:00,1.300,21.000
2020-07-01 02:00:00,1.800,16.000
2020-07-01 03:00:00,1.400,359.000
2020-07-01 04:00:00,1.400,7.000
2020-07-01 05:00:00,1.900,5.000
2020-07-01 06:00:00,2.500,9.000
2020-07-01 07:00:00,3.900,7.000
2020-07-01 08:00:00,4.100,12.000
2020-07-01 09:00:00,4.000,9.000
2020-07-01 10:00:00,4.000,13.000
2020-07-01 11:00:00,4.000,14.000
2020-07-01 12:00:00,4.400,16.000
2020-07-01 13:00:00,5.000,7.000
2020-07-01 14:00:00,5.300,359.000
2020-07-01 15:00:00,5.100,357.000
2020-07-01 16:00:00,4.200,352.000
2020-07-01 17:00:00,3.400,1.000
2020-07-01 18:00:00,3.100,17.000
2020-07-01 19:00:00,3.400,15.000
2020-07-01 20:00:00,3.100,17.000
2020-07-01 21:00:00,2.900,16.000
2020-07-01 22:00:00,2.200,11.000
2020-07-01 23:00:00,2.200,346.000
2020-07-02 00:00:00,1.700,329.000
2020-07-02 01:00:00,1.500,357.000
2020-07-02 02:00:00,1.900,18.000
2020-07-02 03:00:00,1.900,20.000
2020-07-02 04:00:00,2.500,30.000
2020-07-02 05:00:00,2.600,43.000
2020-07-02 06:00:00,2.600,19.000
2020-07-02 07:00:00,2.900,15.000
2020-07-02 08:00:00,4.300,15.000
2020-07-02 09:00:00,4.800,7.000
2020-07-02 10:00:00,5.000,3.000
2020-07-02 11:00:00,5.500,5.000
2020-07-02 12:00:00,5.600,11.000
2020-07-02 13:00:00,6.000,14.000
2020-07-02 14:00:00,5.700,10.000
2020-07-02 15:00:00,5.200,13.000
2020-07-02 16:00:00,5.900,14.000
2020-07-02 17:00:00,4.500,16.000
2020-07-02 18:00:00,4.200,17.000
2020-07-02 19:00:00,3.600,12.000
2020-07-02 20:00:00,3.300,13.000
2020-07-02 21:00:00,2.700,8.000
2020-07-02 22:00:00,2.700,4.000
2020-07-02 23:00:00,2.700,7.000
2020-07-03 00:00:00,2.000,14.000
2020-07-03 01:00:00,2.800,6.000
2020-07-03 02:00:00,1.900,311.000
2020-07-03 03:00:00,1.200,348.000
2020-07-03 04:00:00,1.600,8.000
2020-07-03 05:00:00,2.500,15.000
2020-07-03 06:00:00,3.500,21.000
2020-07-03 07:00:00,4.200,14.000
2020-07-03 08:00:00,4.000,357.000
2020-07-03 09:00:00,4.300,357.000
2020-07-03 10:00:00,4.500,351.000
2020-07-03 11:00:00,4.400,355.000
2020-07-03 12:00:00,4.700,14.000
2020-07-03 13:00:00,4.300,8.000
2020-07-03 14:00:00,4.500,5.000
2020-07-03 15:00:00,5.000,14.000
2020-07-03 16:00:00,5.100,13.000
2020-07-03 17:00:00,5.500,18.000
2020-07-03 18:00:00,4.100,21.000
2020-07-03 19:00:00,4.000,10.000
2020-07-03 20:00:00,3.000,358.000
2020-07-03 21:00:00,2.600,4.000
2020-07-03 22:00:00,2.700,15.000
2020-07-03 23:00:00,2.700,2.000
2020-07-04 00:00:00,1.600,348.000
2020-07-04 01:00:00,1.400,348.000
2020-07-04 02:00:00,1.000,319.000
2020-07-04 03:00:00,1.000,324.000
2020-07-04 04:00:00,0.900,306.000
2020-07-04 05:00:00,1.300,11.000
2020-07-04 06:00:00,2.700,10.000
2020-07-04 07:00:00,2.900,354.000
2020-07-04 08:00:00,3.200,355.000
2020-07-04 09:00:00,3.700,347.000
2020-07-04 10:00:00,4.900,346.000
2020-07-04 11:00:00,5.100,349.000
2020-07-04 12:00:00,5.000,353.000
2020-07-04 13:00:00,5.100,8.000
2020-07-04 14:00:00,5.400,7.000
2020-07-04 15:00:00,5.300,5.000
2020-07-04 16:00:00,5.000,7.000
2020-07-04 17:00:00,4.400,12.000
2020-07-04 18:00:00,3.500,19.000
2020-07-04 19:00:00,2.600,26.000
2020-07-04 20:00:00,2.400,358.000
2020-07-04 21:00:00,2.200,6.000
2020-07-04 22:00:00,2.200,10.000
2020-07-04 23:00:00,2.200,10.000
2020-07-05 00:00:00,1.800,356.000
2020-07-05 01:00:00,1.300,6.000
2020-07-05 02:00:00,1.900,358.000
2020-07-05 03:00:00,1.400,356.000
2020-07-05 04:00:00,1.100,8.000
2020-07-05 05:00:00,2.500,18.000
2020-07-05 06:00:00,2.900,15.000
2020-07-05 07:00:00,3.800,357.000
2020-07-05 08:00:00,3.700,340.000
2020-07-05 09:00:00,4.400,341.000
2020-07-05 10:00:00,4.400,337.000
2020-07-05 11:00:00,5.100,345.000
2020-07-05 12:00:00,6.000,344.000
2020-07-05 13:00:00,5.500,357.000
2020-07-05 14:00:00,5.900,356.000
2020-07-05 15:00:00,5.700,1.000
2020-07-05 16:00:00,5.400,11.000
2020-07-05 17:00:00,5.000,15.000
2020-07-05 18:00:00,4.200,13.000
2020-07-05 19:00:00,3.500,13.000
2020-07-05 20:00:00,2.500,6.000
2020-07-05 21:00:00,2.100,13.000
2020-07-05 22:00:00,2.700,7.000
2020-07-05 23:00:00,2.700,8.000
2020-07-06 00:00:00,2.300,5.000
2020-07-06 01:00:00,2.100,7.000
2020-07-06 02:00:00,2.900,17.000
2020-07-06 03:00:00,3.000,20.000
2020-07-06 04:00:00,3.000,18.000
2020-07-06 05:00:00,3.800,18.000
2020-07-06 06:00:00,3.800,13.000
2020-07-06 07:00:00,3.900,360.000
2020-07-06 08:00:00,4.300,355.000
2020-07-06 09:00:00,4.000,4.000
2020-07-06 10:00:00,4.500,8.000
2020-07-06 11:00:00,5.300,13.000
2020-07-06 12:00:00,5.100,358.000
2020-07-06 13:00:00,5.500,6.000
2020-07-06 14:00:00,5.900,4.000
2020-07-06 15:00:00,6.500,11.000
2020-07-06 16:00:00,4.800,12.000
2020-07-06 17:00:00,4.200,10.000
2020-07-06 18:00:00,3.500,8.000
2020-07-06 19:00:00,4.100,10.000
2020-07-06 20:00:00,2.900,14.000
2020-07-06 21:00:00,2.900,12.000
2020-07-06 22:00:00,2.000,3.000
2020-07-06 23:00:00,2.000,5.000
2020-07-07 00:00:00,1.500,353.000
2020-07-07 01:00:00,1.500,7.000
2020-07-07 02:00:00,2.400,21.000
2020-07-07 03:00:00,2.800,354.000
2020-07-07 04:00:00,2.200,6.000
2020-07-07 05:00:00,2.800,23.000
2020-07-07 06:00:00,2.800,17.000
2020-07-07 07:00:00,3.100,16.000
2020-07-07 08:00:00,3.100,342.000
2020-07-07 09:00:00,2.300,334.000
2020-07-07 10:00:00,3.800,356.000
2020-07-07 11:00:00,4.200,346.000
2020-07-07 12:00:00,4.100,350.000
2020-07-07 13:00:00,4.100,345.000
2020-07-07 14:00:00,3.700,1.000
2020-07-07 15:00:00,3.300,6.000
2020-07-07 16:00:00,2.900,355.000
2020-07-07 17:00:00,3.900,1.000
2020-07-07 18:00:00,4.000,360.000
2020-07-07 19:00:00,3.500,352.000
2020-07-07 20:00:00,3.500,360.000
2020-07-07 21:00:00,4.400,4.000
2020-07-07 22:00:00,4.800,3.000
2020-07-07 23:00:00,4.700,358.000
2020-07-08 00:00:00,4.900,354.000
2020-07-08 01:00:00,4.900,350.000
2020-07-08 02:00:00,6.900,352.000
2020-07-08 03:00:00,6.700,354.000
2020-07-08 04:00:00,7.200,348.000
2020-07-08 05:00:00,6.900,353.000
2020-07-08 06:00:00,7.100,354.000
2020-07-08 07:00:00,7.800,1.000
2020-07-08 08:00:00,7.100,4.000
2020-07-08 09:00:00,7.000,1.000
2020-07-08 10:00:00,6.400,1.000
2020-07-08 11:00:00,6.400,358.000
2020-07-08 12:00:00,6.600,358.000
2020-07-08 13:00:00,6.100,4.000
2020-07-08 14:00:00,5.800,11.000
2020-07-08 15:00:00,5.200,17.000
2020-07-08 16:00:00,5.400,16.000
2020-07-08 17:00:00,4.900,18.000
2020-07-08 18:00:00,4.100,19.000
