Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),2_Metre_Cig_Noktasi_Sicakligi(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Buyukcekmece,18099,41.045278,28.59,2024-11-22 00:00:00,0,9.3,9.3,1012,4
Buyukcekmece,18099,41.045278,28.59,2024-11-22 01:00:00,0,8.8,8.8,1010,3
Buyukcekmece,18099,41.045278,28.59,2024-11-22 02:00:00,0,8.66,8.66,1010,2
Buyukcekmece,18099,41.045278,28.59,2024-11-22 03:00:00,0,8.17,8.17,1010,1
Buyukcekmece,18099,41.045278,28.59,2024-11-22 04:00:00,0,7.79,7.79,1010,1
Buyukcekmece,18099,41.045278,28.59,2024-11-22 05:00:00,0,7.94,7.94,1010,2
Buyukcekmece,18099,41.045278,28.59,2024-11-22 06:00:00,0,9.95,9.95,1010,2
Buyukcekmece,18099,41.045278,28.59,2024-11-22 07:00:00,0,11.92,11.92,1010,3
Buyukcekmece,18099,41.045278,28.59,2024-11-22 08:00:00,0,12.87,12.87,1010,4
Buyukcekmece,18099,41.045278,28.59,2024-11-22 09:00:00,0,13.44,13.44,1010,4
Buyukcekmece,18099,41.045278,28.59,2024-11-22 10:00:00,0,14.02,14.02,1009,4
Buyukcekmece,18099,41.045278,28.59,2024-11-22 11:00:00,0,14.76,14.76,1008,4
Buyukcekmece,18099,41.045278,28.59,2024-11-22 12:00:00,0,15.98,15.98,1007,5
Buyukcekmece,18099,41.045278,28.59,2024-11-22 13:00:00,0,16.92,16.92,1006,5
Buyukcekmece,18099,41.045278,28.59,2024-11-22 14:00:00,0,17.82,17.82,1006,6
Buyukcekmece,18099,41.045278,28.59,2024-11-22 15:00:00,0,17.53,17.53,1005,6
Buyukcekmece,18099,41.045278,28.59,2024-11-22 16:00:00,0,17.42,17.42,1005,8
Buyukcekmece,18099,41.045278,28.59,2024-11-22 17:00:00,0,17.4,17.4,1005,9
Buyukcekmece,18099,41.045278,28.59,2024-11-22 18:00:00,0,17.2,17.2,1005,8
Buyukcekmece,18099,41.045278,28.59,2024-11-22 19:00:00,0,17.09,17.09,1005,9
Buyukcekmece,18099,41.045278,28.59,2024-11-22 20:00:00,0,17.07,17.07,1005,9
Buyukcekmece,18099,41.045278,28.59,2024-11-22 21:00:00,0,17.13,17.13,1004,10
Buyukcekmece,18099,41.045278,28.59,2024-11-22 22:00:00,0,17.4,17.4,1004,11
Buyukcekmece,18099,41.045278,28.59,2024-11-22 23:00:00,0,17.64,17.64,1003,12
Buyukcekmece,18099,41.045278,28.59,2024-11-23 00:00:00,0,17.67,17.67,1003,12
Buyukcekmece,18099,41.045278,28.59,2024-11-23 01:00:00,0,17.54,17.54,1003,11
Buyukcekmece,18099,41.045278,28.59,2024-11-23 02:00:00,0,17.42,17.42,1003,10
Buyukcekmece,18099,41.045278,28.59,2024-11-23 03:00:00,0,17.3,17.3,1003,10
Buyukcekmece,18099,41.045278,28.59,2024-11-23 04:00:00,0,17.38,17.38,1003,10
Buyukcekmece,18099,41.045278,28.59,2024-11-23 05:00:00,0,17.4,17.4,1003,11
Buyukcekmece,18099,41.045278,28.59,2024-11-23 06:00:00,1,17.56,17.56,1004,9
Buyukcekmece,18099,41.045278,28.59,2024-11-23 07:00:00,17,9.01,9.01,1008,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 08:00:00,7,5.03,5.03,1011,9
Buyukcekmece,18099,41.045278,28.59,2024-11-23 09:00:00,6,3.48,3.48,1011,10
Buyukcekmece,18099,41.045278,28.59,2024-11-23 10:00:00,5,3.15,3.15,1013,8
Buyukcekmece,18099,41.045278,28.59,2024-11-23 11:00:00,0,3.46,3.46,1016,5
Buyukcekmece,18099,41.045278,28.59,2024-11-23 12:00:00,1,6.12,6.12,1014,7
Buyukcekmece,18099,41.045278,28.59,2024-11-23 13:00:00,0,5.9,5.9,1017,5
Buyukcekmece,18099,41.045278,28.59,2024-11-23 14:00:00,0,6.34,6.34,1018,4
Buyukcekmece,18099,41.045278,28.59,2024-11-23 15:00:00,0,6.73,6.73,1019,4
Buyukcekmece,18099,41.045278,28.59,2024-11-23 16:00:00,0,6.78,6.78,1020,5
Buyukcekmece,18099,41.045278,28.59,2024-11-23 17:00:00,0,6.3,6.3,1021,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 18:00:00,0,5.42,5.42,1022,5
Buyukcekmece,18099,41.045278,28.59,2024-11-23 19:00:00,0,4.58,4.58,1022,4
Buyukcekmece,18099,41.045278,28.59,2024-11-23 20:00:00,0,4.14,4.14,1023,5
Buyukcekmece,18099,41.045278,28.59,2024-11-23 21:00:00,0,4.41,4.41,1024,7
Buyukcekmece,18099,41.045278,28.59,2024-11-23 22:00:00,0,4.01,4.01,1025,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 23:00:00,0,3.75,3.75,1026,6
Buyukcekmece,18099,41.045278,28.59,2024-11-24 00:00:00,0,3.7,3.7,1026,6
Buyukcekmece,18099,41.045278,28.59,2024-11-24 01:00:00,0,3.44,3.44,1027,6
Buyukcekmece,18099,41.045278,28.59,2024-11-24 02:00:00,0,3.11,3.11,1028,5
Buyukcekmece,18099,41.045278,28.59,2024-11-24 03:00:00,0,3.19,3.19,1029,6
Buyukcekmece,18099,41.045278,28.59,2024-11-24 04:00:00,0,2.91,2.91,1029,5
Buyukcekmece,18099,41.045278,28.59,2024-11-24 05:00:00,0,2.68,2.68,1030,4
Buyukcekmece,18099,41.045278,28.59,2024-11-24 06:00:00,0,3.21,3.21,1031,5
Buyukcekmece,18099,41.045278,28.59,2024-11-24 07:00:00,0,4.9,4.9,1031,5
Buyukcekmece,18099,41.045278,28.59,2024-11-24 08:00:00,0,7.52,7.52,1031,6
Buyukcekmece,18099,41.045278,28.59,2024-11-24 09:00:00,0,8.01,8.01,1031,6
Buyukcekmece,18099,41.045278,28.59,2024-11-24 10:00:00,0,8.32,8.32,1030,6
Buyukcekmece,18099,41.045278,28.59,2024-11-24 11:00:00,0,8.45,8.45,1030,6
Buyukcekmece,18099,41.045278,28.59,2024-11-24 12:00:00,0,8.47,8.47,1029,6
Buyukcekmece,18099,41.045278,28.59,2024-11-24 13:00:00,0,8.2,8.2,1029,6
Buyukcekmece,18099,41.045278,28.59,2024-11-24 14:00:00,0,7.76,7.76,1029,5
Buyukcekmece,18099,41.045278,28.59,2024-11-24 15:00:00,0,7.09,7.09,1029,4
Buyukcekmece,18099,41.045278,28.59,2024-11-24 16:00:00,0,6.61,6.61,1029,4
Buyukcekmece,18099,41.045278,28.59,2024-11-24 17:00:00,0,6.48,6.48,1029,3
Buyukcekmece,18099,41.045278,28.59,2024-11-24 18:00:00,0,6.06,6.06,1029,3
Buyukcekmece,18099,41.045278,28.59,2024-11-24 19:00:00,0,3.79,3.79,1029,2
Buyukcekmece,18099,41.045278,28.59,2024-11-24 20:00:00,0,3.7,3.7,1028,2
Buyukcekmece,18099,41.045278,28.59,2024-11-24 21:00:00,0,3.53,3.53,1028,2
Buyukcekmece,18099,41.045278,28.59,2024-11-24 22:00:00,0,3.65,3.65,1027,2
Buyukcekmece,18099,41.045278,28.59,2024-11-24 23:00:00,0,3.65,3.65,1027,2
