Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),2_Metre_Cig_Noktasi_Sicakligi(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Buyukcekmece,18099,41.045278,28.59,2024-11-22 00:00:00,0,9.3,9.3,1012,4
Buyukcekmece,18099,41.045278,28.59,2024-11-22 01:00:00,0,8.83,8.83,1010,3
Buyukcekmece,18099,41.045278,28.59,2024-11-22 02:00:00,0,8.73,8.73,1010,3
Buyukcekmece,18099,41.045278,28.59,2024-11-22 03:00:00,0,8.22,8.22,1010,1
Buyukcekmece,18099,41.045278,28.59,2024-11-22 04:00:00,0,7.98,7.98,1010,2
Buyukcekmece,18099,41.045278,28.59,2024-11-22 05:00:00,0,8.58,8.58,1010,3
Buyukcekmece,18099,41.045278,28.59,2024-11-22 06:00:00,0,9.96,9.96,1010,2
Buyukcekmece,18099,41.045278,28.59,2024-11-22 07:00:00,0,12.03,12.03,1010,4
Buyukcekmece,18099,41.045278,28.59,2024-11-22 08:00:00,0,12.9,12.9,1010,4
Buyukcekmece,18099,41.045278,28.59,2024-11-22 09:00:00,0,13.71,13.71,1010,3
Buyukcekmece,18099,41.045278,28.59,2024-11-22 10:00:00,0,14.28,14.28,1009,4
Buyukcekmece,18099,41.045278,28.59,2024-11-22 11:00:00,0,15.43,15.43,1008,5
Buyukcekmece,18099,41.045278,28.59,2024-11-22 12:00:00,0,16.31,16.31,1007,4
Buyukcekmece,18099,41.045278,28.59,2024-11-22 13:00:00,0,18.04,18.04,1006,6
Buyukcekmece,18099,41.045278,28.59,2024-11-22 14:00:00,0,18.78,18.78,1006,8
Buyukcekmece,18099,41.045278,28.59,2024-11-22 15:00:00,0,18.37,18.37,1005,8
Buyukcekmece,18099,41.045278,28.59,2024-11-22 16:00:00,0,18.04,18.04,1005,9
Buyukcekmece,18099,41.045278,28.59,2024-11-22 17:00:00,0,17.76,17.76,1005,9
Buyukcekmece,18099,41.045278,28.59,2024-11-22 18:00:00,0,17.4,17.4,1005,8
Buyukcekmece,18099,41.045278,28.59,2024-11-22 19:00:00,0,17.43,17.43,1005,10
Buyukcekmece,18099,41.045278,28.59,2024-11-22 20:00:00,0,17.28,17.28,1005,9
Buyukcekmece,18099,41.045278,28.59,2024-11-22 21:00:00,0,17.45,17.45,1004,10
Buyukcekmece,18099,41.045278,28.59,2024-11-22 22:00:00,0,17.62,17.62,1004,11
Buyukcekmece,18099,41.045278,28.59,2024-11-22 23:00:00,0,17.83,17.83,1003,12
Buyukcekmece,18099,41.045278,28.59,2024-11-23 00:00:00,0,17.82,17.82,1003,12
Buyukcekmece,18099,41.045278,28.59,2024-11-23 01:00:00,0,17.69,17.69,1003,11
Buyukcekmece,18099,41.045278,28.59,2024-11-23 02:00:00,0,17.47,17.47,1003,10
Buyukcekmece,18099,41.045278,28.59,2024-11-23 03:00:00,0,17.49,17.49,1003,10
Buyukcekmece,18099,41.045278,28.59,2024-11-23 04:00:00,0,17.35,17.35,1003,10
Buyukcekmece,18099,41.045278,28.59,2024-11-23 05:00:00,0,17.4,17.4,1003,10
Buyukcekmece,18099,41.045278,28.59,2024-11-23 06:00:00,6,17.36,17.36,1005,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 07:00:00,8,7.66,7.66,1009,5
Buyukcekmece,18099,41.045278,28.59,2024-11-23 08:00:00,6,5.83,5.83,1010,10
Buyukcekmece,18099,41.045278,28.59,2024-11-23 09:00:00,7,3.71,3.71,1011,9
Buyukcekmece,18099,41.045278,28.59,2024-11-23 10:00:00,4,2.27,2.27,1014,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 11:00:00,1,3.7,3.7,1016,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 12:00:00,0,5.39,5.39,1015,5
Buyukcekmece,18099,41.045278,28.59,2024-11-23 13:00:00,0,5.79,5.79,1017,3
Buyukcekmece,18099,41.045278,28.59,2024-11-23 14:00:00,0,6.79,6.79,1018,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 15:00:00,0,6.86,6.86,1019,5
Buyukcekmece,18099,41.045278,28.59,2024-11-23 16:00:00,0,6.74,6.74,1020,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 17:00:00,0,6.38,6.38,1021,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 18:00:00,0,5.75,5.75,1022,7
Buyukcekmece,18099,41.045278,28.59,2024-11-23 19:00:00,0,5.05,5.05,1022,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 20:00:00,0,4.54,4.54,1023,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 21:00:00,0,4.7,4.7,1024,7
Buyukcekmece,18099,41.045278,28.59,2024-11-23 22:00:00,0,4.27,4.27,1025,6
Buyukcekmece,18099,41.045278,28.59,2024-11-23 23:00:00,0,4.09,4.09,1026,7
Buyukcekmece,18099,41.045278,28.59,2024-11-24 00:00:00,0,3.85,3.85,1027,5
