Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Silivri,18400,41.185556,28.1575,2024-01-19 00:00:00,0,11.39,988,6
Silivri,18400,41.185556,28.1575,2024-01-19 01:00:00,0,7.7,989,3
Silivri,18400,41.185556,28.1575,2024-01-19 02:00:00,0,8.37,988,3
Silivri,18400,41.185556,28.1575,2024-01-19 03:00:00,0,7.83,988,3
Silivri,18400,41.185556,28.1575,2024-01-19 04:00:00,0,7.94,989,3
Silivri,18400,41.185556,28.1575,2024-01-19 05:00:00,0,8.56,989,4
Silivri,18400,41.185556,28.1575,2024-01-19 06:00:00,0,10.24,989,7
Silivri,18400,41.185556,28.1575,2024-01-19 07:00:00,0,12.47,989,9
Silivri,18400,41.185556,28.1575,2024-01-19 08:00:00,0,13.37,990,9
Silivri,18400,41.185556,28.1575,2024-01-19 09:00:00,0,14.16,990,9
Silivri,18400,41.185556,28.1575,2024-01-19 10:00:00,0,15.0,989,9
Silivri,18400,41.185556,28.1575,2024-01-19 11:00:00,0,15.81,989,8
Silivri,18400,41.185556,28.1575,2024-01-19 12:00:00,0,16.31,989,8
Silivri,18400,41.185556,28.1575,2024-01-19 13:00:00,0,16.51,989,7
Silivri,18400,41.185556,28.1575,2024-01-19 14:00:00,0,15.68,989,6
Silivri,18400,41.185556,28.1575,2024-01-19 15:00:00,0,12.96,990,5
Silivri,18400,41.185556,28.1575,2024-01-19 16:00:00,0,12.58,990,5
Silivri,18400,41.185556,28.1575,2024-01-19 17:00:00,0,12.14,990,4
Silivri,18400,41.185556,28.1575,2024-01-19 18:00:00,0,11.89,991,5
Silivri,18400,41.185556,28.1575,2024-01-19 19:00:00,0,10.28,991,4
Silivri,18400,41.185556,28.1575,2024-01-19 20:00:00,0,9.91,992,4
Silivri,18400,41.185556,28.1575,2024-01-19 21:00:00,0,9.43,992,4
Silivri,18400,41.185556,28.1575,2024-01-19 22:00:00,0,8.77,992,3
Silivri,18400,41.185556,28.1575,2024-01-19 23:00:00,0,8.24,993,2
Silivri,18400,41.185556,28.1575,2024-01-20 00:00:00,0,8.26,993,1
Silivri,18400,41.185556,28.1575,2024-01-20 01:00:00,0,7.87,993,2
Silivri,18400,41.185556,28.1575,2024-01-20 02:00:00,0,7.9,993,1
Silivri,18400,41.185556,28.1575,2024-01-20 03:00:00,0,9.01,994,6
Silivri,18400,41.185556,28.1575,2024-01-20 04:00:00,0,7.04,994,8
Silivri,18400,41.185556,28.1575,2024-01-20 05:00:00,0,6.86,995,9
Silivri,18400,41.185556,28.1575,2024-01-20 06:00:00,0,6.44,995,10
Silivri,18400,41.185556,28.1575,2024-01-20 07:00:00,0,6.21,996,12
Silivri,18400,41.185556,28.1575,2024-01-20 08:00:00,0,5.96,996,13
Silivri,18400,41.185556,28.1575,2024-01-20 09:00:00,0,5.64,997,13
Silivri,18400,41.185556,28.1575,2024-01-20 10:00:00,0,5.1,997,14
Silivri,18400,41.185556,28.1575,2024-01-20 11:00:00,1,4.89,997,14
Silivri,18400,41.185556,28.1575,2024-01-20 12:00:00,0,3.79,997,14
Silivri,18400,41.185556,28.1575,2024-01-20 13:00:00,2,3.03,998,14
Silivri,18400,41.185556,28.1575,2024-01-20 14:00:00,1,2.48,998,14
Silivri,18400,41.185556,28.1575,2024-01-20 15:00:00,2,2.25,999,12
Silivri,18400,41.185556,28.1575,2024-01-20 16:00:00,1,2.31,1000,14
Silivri,18400,41.185556,28.1575,2024-01-20 17:00:00,2,2.06,1001,14
Silivri,18400,41.185556,28.1575,2024-01-20 18:00:00,0,2.21,1002,13
Silivri,18400,41.185556,28.1575,2024-01-20 19:00:00,1,2.11,1002,13
Silivri,18400,41.185556,28.1575,2024-01-20 20:00:00,1,2.13,1003,13
Silivri,18400,41.185556,28.1575,2024-01-20 21:00:00,1,2.18,1003,12
Silivri,18400,41.185556,28.1575,2024-01-20 22:00:00,1,2.13,1004,12
Silivri,18400,41.185556,28.1575,2024-01-20 23:00:00,1,2.02,1005,12
Silivri,18400,41.185556,28.1575,2024-01-21 00:00:00,2,2.0,1005,11
Silivri,18400,41.185556,28.1575,2024-01-21 01:00:00,1,2.06,1006,11
Silivri,18400,41.185556,28.1575,2024-01-21 02:00:00,1,2.33,1006,10
Silivri,18400,41.185556,28.1575,2024-01-21 03:00:00,0,2.62,1006,9
Silivri,18400,41.185556,28.1575,2024-01-21 04:00:00,1,2.66,1007,9
Silivri,18400,41.185556,28.1575,2024-01-21 05:00:00,0,2.31,1007,9
Silivri,18400,41.185556,28.1575,2024-01-21 06:00:00,0,2.28,1008,10
Silivri,18400,41.185556,28.1575,2024-01-21 07:00:00,0,2.69,1008,10
Silivri,18400,41.185556,28.1575,2024-01-21 08:00:00,0,3.06,1009,11
Silivri,18400,41.185556,28.1575,2024-01-21 09:00:00,0,3.31,1010,11
Silivri,18400,41.185556,28.1575,2024-01-21 10:00:00,0,3.88,1010,11
Silivri,18400,41.185556,28.1575,2024-01-21 11:00:00,0,4.45,1010,11
Silivri,18400,41.185556,28.1575,2024-01-21 12:00:00,0,4.41,1010,11
Silivri,18400,41.185556,28.1575,2024-01-21 13:00:00,0,4.45,1010,10
Silivri,18400,41.185556,28.1575,2024-01-21 14:00:00,0,3.98,1011,9
Silivri,18400,41.185556,28.1575,2024-01-21 15:00:00,0,3.07,1011,9
Silivri,18400,41.185556,28.1575,2024-01-21 16:00:00,0,3.2,1012,9
Silivri,18400,41.185556,28.1575,2024-01-21 17:00:00,0,2.99,1012,9
Silivri,18400,41.185556,28.1575,2024-01-21 18:00:00,0,2.52,1013,8
Silivri,18400,41.185556,28.1575,2024-01-21 19:00:00,0,2.28,1013,8
Silivri,18400,41.185556,28.1575,2024-01-21 20:00:00,0,2.24,1013,8
Silivri,18400,41.185556,28.1575,2024-01-21 21:00:00,0,2.09,1013,7
Silivri,18400,41.185556,28.1575,2024-01-21 22:00:00,0,2.1,1013,8
Silivri,18400,41.185556,28.1575,2024-01-21 23:00:00,0,1.82,1013,7
