Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),2_Metre_Cig_Noktasi_Sicakligi(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Sariyer,17061,41.146382,29.050195,2024-11-22 00:00:00,0,8.24,8.24,1011,2
Sariyer,17061,41.146382,29.050195,2024-11-22 01:00:00,0,7.96,7.96,1010,2
Sariyer,17061,41.146382,29.050195,2024-11-22 02:00:00,0,7.7,7.7,1009,1
Sariyer,17061,41.146382,29.050195,2024-11-22 03:00:00,0,7.56,7.56,1009,1
Sariyer,17061,41.146382,29.050195,2024-11-22 04:00:00,0,7.29,7.29,1009,1
Sariyer,17061,41.146382,29.050195,2024-11-22 05:00:00,0,7.62,7.62,1009,1
Sariyer,17061,41.146382,29.050195,2024-11-22 06:00:00,0,8.4,8.4,1009,1
Sariyer,17061,41.146382,29.050195,2024-11-22 07:00:00,0,10.18,10.18,1009,1
Sariyer,17061,41.146382,29.050195,2024-11-22 08:00:00,0,12.17,12.17,1009,2
Sariyer,17061,41.146382,29.050195,2024-11-22 09:00:00,0,13.92,13.92,1008,3
Sariyer,17061,41.146382,29.050195,2024-11-22 10:00:00,0,14.91,14.91,1007,4
Sariyer,17061,41.146382,29.050195,2024-11-22 11:00:00,0,16.0,16.0,1007,4
Sariyer,17061,41.146382,29.050195,2024-11-22 12:00:00,0,16.92,16.92,1006,4
Sariyer,17061,41.146382,29.050195,2024-11-22 13:00:00,0,16.95,16.95,1005,4
Sariyer,17061,41.146382,29.050195,2024-11-22 14:00:00,0,16.43,16.43,1005,3
Sariyer,17061,41.146382,29.050195,2024-11-22 15:00:00,0,17.42,17.42,1004,6
Sariyer,17061,41.146382,29.050195,2024-11-22 16:00:00,0,18.05,18.05,1004,7
Sariyer,17061,41.146382,29.050195,2024-11-22 17:00:00,0,17.97,17.97,1004,8
Sariyer,17061,41.146382,29.050195,2024-11-22 18:00:00,0,17.58,17.58,1004,8
Sariyer,17061,41.146382,29.050195,2024-11-22 19:00:00,0,17.31,17.31,1003,8
Sariyer,17061,41.146382,29.050195,2024-11-22 20:00:00,0,16.78,16.78,1003,7
Sariyer,17061,41.146382,29.050195,2024-11-22 21:00:00,0,17.06,17.06,1003,7
Sariyer,17061,41.146382,29.050195,2024-11-22 22:00:00,0,17.25,17.25,1003,7
Sariyer,17061,41.146382,29.050195,2024-11-22 23:00:00,0,17.08,17.08,1002,7
Sariyer,17061,41.146382,29.050195,2024-11-23 00:00:00,0,17.26,17.26,1002,7
Sariyer,17061,41.146382,29.050195,2024-11-23 01:00:00,0,17.39,17.39,1002,8
Sariyer,17061,41.146382,29.050195,2024-11-23 02:00:00,0,17.36,17.36,1002,8
Sariyer,17061,41.146382,29.050195,2024-11-23 03:00:00,0,16.26,16.26,1002,4
Sariyer,17061,41.146382,29.050195,2024-11-23 04:00:00,0,16.95,16.95,1002,7
Sariyer,17061,41.146382,29.050195,2024-11-23 05:00:00,0,16.27,16.27,1003,5
Sariyer,17061,41.146382,29.050195,2024-11-23 06:00:00,7,9.54,9.54,1005,8
Sariyer,17061,41.146382,29.050195,2024-11-23 07:00:00,7,7.72,7.72,1006,10
Sariyer,17061,41.146382,29.050195,2024-11-23 08:00:00,6,5.22,5.22,1009,10
Sariyer,17061,41.146382,29.050195,2024-11-23 09:00:00,9,4.25,4.25,1011,7
Sariyer,17061,41.146382,29.050195,2024-11-23 10:00:00,5,3.18,3.18,1012,5
Sariyer,17061,41.146382,29.050195,2024-11-23 11:00:00,3,3.94,3.94,1014,4
Sariyer,17061,41.146382,29.050195,2024-11-23 12:00:00,0,4.16,4.16,1015,2
Sariyer,17061,41.146382,29.050195,2024-11-23 13:00:00,0,4.63,4.63,1015,2
Sariyer,17061,41.146382,29.050195,2024-11-23 14:00:00,0,4.88,4.88,1017,4
Sariyer,17061,41.146382,29.050195,2024-11-23 15:00:00,0,5.17,5.17,1017,4
Sariyer,17061,41.146382,29.050195,2024-11-23 16:00:00,0,5.56,5.56,1018,4
Sariyer,17061,41.146382,29.050195,2024-11-23 17:00:00,1,5.05,5.05,1019,4
Sariyer,17061,41.146382,29.050195,2024-11-23 18:00:00,1,4.59,4.59,1020,6
Sariyer,17061,41.146382,29.050195,2024-11-23 19:00:00,0,3.94,3.94,1020,5
