Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),2_Metre_Cig_Noktasi_Sicakligi(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 00:00:00,0,9.64,9.64,1012,3
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 01:00:00,0,9.53,9.53,1011,4
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 02:00:00,0,9.35,9.35,1010,4
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 03:00:00,0,9.34,9.34,1010,3
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 04:00:00,0,9.3,9.3,1010,2
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 05:00:00,0,9.4,9.4,1010,2
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 06:00:00,0,9.99,9.99,1011,2
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 07:00:00,0,11.09,11.09,1010,4
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 08:00:00,0,11.36,11.36,1010,3
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 09:00:00,0,11.6,11.6,1010,2
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 10:00:00,0,11.89,11.89,1009,2
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 11:00:00,0,12.07,12.07,1009,2
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 12:00:00,0,12.17,12.17,1008,2
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 13:00:00,0,12.74,12.74,1007,2
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 14:00:00,0,13.54,13.54,1007,4
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 15:00:00,0,14.29,14.29,1006,5
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 16:00:00,0,16.06,16.06,1006,10
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 17:00:00,0,15.4,15.4,1006,9
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 18:00:00,0,15.27,15.27,1006,9
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 19:00:00,0,14.71,14.71,1006,7
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 20:00:00,0,14.56,14.56,1006,7
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 21:00:00,0,15.13,15.13,1006,9
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 22:00:00,0,15.35,15.35,1005,10
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-22 23:00:00,0,15.75,15.75,1004,11
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 00:00:00,0,15.68,15.68,1004,10
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 01:00:00,0,15.51,15.51,1004,10
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 02:00:00,0,15.45,15.45,1003,10
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 03:00:00,0,15.08,15.08,1004,8
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 04:00:00,0,15.26,15.26,1004,9
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 05:00:00,0,15.34,15.34,1004,11
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 06:00:00,9,14.34,14.34,1006,6
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 07:00:00,8,7.98,7.98,1008,10
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 08:00:00,5,6.69,6.69,1010,13
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 09:00:00,11,3.62,3.62,1012,12
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 10:00:00,3,2.27,2.27,1014,8
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 11:00:00,3,2.93,2.93,1016,5
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 12:00:00,1,2.44,2.44,1016,1
Kumkapi Feneri,17454,41.0042,28.9547,2024-11-23 13:00:00,0,3.45,3.45,1017,2
