Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Sisli,18401,41.054722,28.968333,2023-11-01 00:00:00,0,18.5,1005,2
Sisli,18401,41.054722,28.968333,2023-11-01 01:00:00,0,17.53,1005,2
Sisli,18401,41.054722,28.968333,2023-11-01 02:00:00,0,17.17,1004,2
Sisli,18401,41.054722,28.968333,2023-11-01 03:00:00,0,16.93,1004,2
Sisli,18401,41.054722,28.968333,2023-11-01 04:00:00,0,16.88,1005,2
Sisli,18401,41.054722,28.968333,2023-11-01 05:00:00,0,16.6,1005,1
Sisli,18401,41.054722,28.968333,2023-11-01 06:00:00,0,18.19,1005,2
Sisli,18401,41.054722,28.968333,2023-11-01 07:00:00,0,18.78,1005,1
Sisli,18401,41.054722,28.968333,2023-11-01 08:00:00,0,21.37,1006,3
Sisli,18401,41.054722,28.968333,2023-11-01 09:00:00,0,22.18,1006,4
Sisli,18401,41.054722,28.968333,2023-11-01 10:00:00,0,22.83,1006,4
Sisli,18401,41.054722,28.968333,2023-11-01 11:00:00,0,23.55,1006,3
Sisli,18401,41.054722,28.968333,2023-11-01 12:00:00,0,24.56,1005,2
Sisli,18401,41.054722,28.968333,2023-11-01 13:00:00,0,24.89,1005,4
Sisli,18401,41.054722,28.968333,2023-11-01 14:00:00,0,21.87,1005,5
Sisli,18401,41.054722,28.968333,2023-11-01 15:00:00,0,20.2,1006,4
Sisli,18401,41.054722,28.968333,2023-11-01 16:00:00,0,19.36,1006,4
Sisli,18401,41.054722,28.968333,2023-11-01 17:00:00,0,18.96,1006,4
Sisli,18401,41.054722,28.968333,2023-11-01 18:00:00,0,18.31,1006,3
Sisli,18401,41.054722,28.968333,2023-11-01 19:00:00,0,17.77,1006,2
Sisli,18401,41.054722,28.968333,2023-11-01 20:00:00,0,17.23,1006,2
Sisli,18401,41.054722,28.968333,2023-11-01 21:00:00,0,17.07,1006,3
Sisli,18401,41.054722,28.968333,2023-11-01 22:00:00,0,17.22,1005,3
Sisli,18401,41.054722,28.968333,2023-11-01 23:00:00,0,17.16,1005,3
Sisli,18401,41.054722,28.968333,2023-11-02 00:00:00,0,16.28,1005,2
Sisli,18401,41.054722,28.968333,2023-11-02 01:00:00,0,16.21,1004,3
Sisli,18401,41.054722,28.968333,2023-11-02 02:00:00,0,16.26,1004,2
Sisli,18401,41.054722,28.968333,2023-11-02 03:00:00,0,16.57,1003,3
Sisli,18401,41.054722,28.968333,2023-11-02 04:00:00,0,16.35,1003,2
Sisli,18401,41.054722,28.968333,2023-11-02 05:00:00,0,16.71,1003,2
Sisli,18401,41.054722,28.968333,2023-11-02 06:00:00,0,17.26,1003,2
Sisli,18401,41.054722,28.968333,2023-11-02 07:00:00,0,18.02,1003,1
Sisli,18401,41.054722,28.968333,2023-11-02 08:00:00,1,17.95,1003,2
Sisli,18401,41.054722,28.968333,2023-11-02 09:00:00,0,17.75,1002,2
