Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Beykoz,18396,41.141667,29.073889,2024-11-22 00:00:00,0,8.22,1015,2
Beykoz,18396,41.141667,29.073889,2024-11-22 01:00:00,0,5.91,1014,2
Beykoz,18396,41.141667,29.073889,2024-11-22 02:00:00,0,6.18,1013,1
Beykoz,18396,41.141667,29.073889,2024-11-22 03:00:00,0,5.78,1013,1
Beykoz,18396,41.141667,29.073889,2024-11-22 04:00:00,0,5.32,1013,1
Beykoz,18396,41.141667,29.073889,2024-11-22 05:00:00,0,5.66,1013,1
Beykoz,18396,41.141667,29.073889,2024-11-22 06:00:00,0,7.59,1013,1
Beykoz,18396,41.141667,29.073889,2024-11-22 07:00:00,0,10.49,1013,2
Beykoz,18396,41.141667,29.073889,2024-11-22 08:00:00,0,12.33,1013,2
Beykoz,18396,41.141667,29.073889,2024-11-22 09:00:00,0,14.13,1012,3
Beykoz,18396,41.141667,29.073889,2024-11-22 10:00:00,0,15.21,1011,4
Beykoz,18396,41.141667,29.073889,2024-11-22 11:00:00,0,16.06,1011,4
Beykoz,18396,41.141667,29.073889,2024-11-22 12:00:00,0,17.0,1010,4
Beykoz,18396,41.141667,29.073889,2024-11-22 13:00:00,0,16.96,1009,4
Beykoz,18396,41.141667,29.073889,2024-11-22 14:00:00,0,15.86,1009,2
Beykoz,18396,41.141667,29.073889,2024-11-22 15:00:00,0,13.47,1008,3
Beykoz,18396,41.141667,29.073889,2024-11-22 16:00:00,0,14.26,1008,3
Beykoz,18396,41.141667,29.073889,2024-11-22 17:00:00,0,17.87,1008,7
Beykoz,18396,41.141667,29.073889,2024-11-22 18:00:00,0,16.97,1008,6
Beykoz,18396,41.141667,29.073889,2024-11-22 19:00:00,0,16.92,1007,6
Beykoz,18396,41.141667,29.073889,2024-11-22 20:00:00,0,16.28,1007,6
Beykoz,18396,41.141667,29.073889,2024-11-22 21:00:00,0,16.71,1007,7
