Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Sile,17610,41.1688,29.600651,2024-01-19 00:00:00,0,13.12,1006,7
Sile,17610,41.1688,29.600651,2024-01-19 01:00:00,0,10.8,1006,3
Sile,17610,41.1688,29.600651,2024-01-19 02:00:00,0,12.22,1006,5
Sile,17610,41.1688,29.600651,2024-01-19 03:00:00,0,13.84,1005,8
Sile,17610,41.1688,29.600651,2024-01-19 04:00:00,0,13.81,1005,7
Sile,17610,41.1688,29.600651,2024-01-19 05:00:00,0,13.16,1006,5
Sile,17610,41.1688,29.600651,2024-01-19 06:00:00,0,13.62,1006,6
Sile,17610,41.1688,29.600651,2024-01-19 07:00:00,0,15.42,1006,8
Sile,17610,41.1688,29.600651,2024-01-19 08:00:00,0,17.04,1007,9
Sile,17610,41.1688,29.600651,2024-01-19 09:00:00,0,18.14,1007,9
Sile,17610,41.1688,29.600651,2024-01-19 10:00:00,0,18.89,1007,9
Sile,17610,41.1688,29.600651,2024-01-19 11:00:00,0,19.13,1006,9
Sile,17610,41.1688,29.600651,2024-01-19 12:00:00,0,19.03,1006,9
Sile,17610,41.1688,29.600651,2024-01-19 13:00:00,0,18.89,1006,6
Sile,17610,41.1688,29.600651,2024-01-19 14:00:00,0,17.56,1007,4
Sile,17610,41.1688,29.600651,2024-01-19 15:00:00,0,15.01,1007,4
Sile,17610,41.1688,29.600651,2024-01-19 16:00:00,0,14.36,1007,5
Sile,17610,41.1688,29.600651,2024-01-19 17:00:00,0,14.04,1008,5
Sile,17610,41.1688,29.600651,2024-01-19 18:00:00,0,13.61,1008,6
Sile,17610,41.1688,29.600651,2024-01-19 19:00:00,0,13.8,1009,6
Sile,17610,41.1688,29.600651,2024-01-19 20:00:00,0,13.47,1009,6
Sile,17610,41.1688,29.600651,2024-01-19 21:00:00,0,13.36,1009,6
Sile,17610,41.1688,29.600651,2024-01-19 22:00:00,0,13.55,1009,6
Sile,17610,41.1688,29.600651,2024-01-19 23:00:00,0,13.4,1010,5
Sile,17610,41.1688,29.600651,2024-01-20 00:00:00,0,12.54,1010,4
Sile,17610,41.1688,29.600651,2024-01-20 01:00:00,0,11.61,1010,4
Sile,17610,41.1688,29.600651,2024-01-20 02:00:00,0,11.22,1010,4
Sile,17610,41.1688,29.600651,2024-01-20 03:00:00,0,10.43,1010,4
Sile,17610,41.1688,29.600651,2024-01-20 04:00:00,0,10.15,1011,4
Sile,17610,41.1688,29.600651,2024-01-20 05:00:00,0,9.14,1011,2
Sile,17610,41.1688,29.600651,2024-01-20 06:00:00,0,9.04,1012,2
Sile,17610,41.1688,29.600651,2024-01-20 07:00:00,0,9.19,1013,3
Sile,17610,41.1688,29.600651,2024-01-20 08:00:00,0,9.52,1014,3
Sile,17610,41.1688,29.600651,2024-01-20 09:00:00,0,9.25,1014,3
Sile,17610,41.1688,29.600651,2024-01-20 10:00:00,0,9.14,1014,6
Sile,17610,41.1688,29.600651,2024-01-20 11:00:00,1,8.48,1015,7
Sile,17610,41.1688,29.600651,2024-01-20 12:00:00,1,7.91,1015,7
Sile,17610,41.1688,29.600651,2024-01-20 13:00:00,1,7.39,1016,7
Sile,17610,41.1688,29.600651,2024-01-20 14:00:00,1,6.89,1017,8
Sile,17610,41.1688,29.600651,2024-01-20 15:00:00,2,6.1,1017,9
Sile,17610,41.1688,29.600651,2024-01-20 16:00:00,2,5.62,1018,9
Sile,17610,41.1688,29.600651,2024-01-20 17:00:00,2,4.84,1018,9
Sile,17610,41.1688,29.600651,2024-01-20 18:00:00,3,4.71,1019,8
Sile,17610,41.1688,29.600651,2024-01-20 19:00:00,2,4.18,1020,8
Sile,17610,41.1688,29.600651,2024-01-20 20:00:00,2,4.21,1021,8
Sile,17610,41.1688,29.600651,2024-01-20 21:00:00,2,4.4,1022,7
Sile,17610,41.1688,29.600651,2024-01-20 22:00:00,2,4.33,1022,8
Sile,17610,41.1688,29.600651,2024-01-20 23:00:00,2,4.45,1023,6
Sile,17610,41.1688,29.600651,2024-01-21 00:00:00,2,4.59,1023,8
Sile,17610,41.1688,29.600651,2024-01-21 01:00:00,1,4.4,1024,7
Sile,17610,41.1688,29.600651,2024-01-21 02:00:00,1,4.58,1024,8
Sile,17610,41.1688,29.600651,2024-01-21 03:00:00,0,4.67,1024,8
Sile,17610,41.1688,29.600651,2024-01-21 04:00:00,0,4.89,1025,8
Sile,17610,41.1688,29.600651,2024-01-21 05:00:00,0,5.12,1025,8
Sile,17610,41.1688,29.600651,2024-01-21 06:00:00,0,5.22,1026,7
Sile,17610,41.1688,29.600651,2024-01-21 07:00:00,0,6.02,1026,8
Sile,17610,41.1688,29.600651,2024-01-21 08:00:00,0,6.52,1027,8
Sile,17610,41.1688,29.600651,2024-01-21 09:00:00,0,6.87,1027,8
Sile,17610,41.1688,29.600651,2024-01-21 10:00:00,0,6.59,1027,8
Sile,17610,41.1688,29.600651,2024-01-21 11:00:00,0,6.95,1027,9
Sile,17610,41.1688,29.600651,2024-01-21 12:00:00,0,6.9,1028,8
Sile,17610,41.1688,29.600651,2024-01-21 13:00:00,0,6.78,1028,9
Sile,17610,41.1688,29.600651,2024-01-21 14:00:00,0,6.44,1029,9
Sile,17610,41.1688,29.600651,2024-01-21 15:00:00,0,5.81,1029,9
Sile,17610,41.1688,29.600651,2024-01-21 16:00:00,0,5.69,1030,9
Sile,17610,41.1688,29.600651,2024-01-21 17:00:00,0,5.59,1030,8
Sile,17610,41.1688,29.600651,2024-01-21 18:00:00,0,5.25,1031,9
Sile,17610,41.1688,29.600651,2024-01-21 19:00:00,0,5.41,1031,8
Sile,17610,41.1688,29.600651,2024-01-21 20:00:00,0,4.78,1031,8
Sile,17610,41.1688,29.600651,2024-01-21 21:00:00,0,4.96,1031,7
Sile,17610,41.1688,29.600651,2024-01-21 22:00:00,0,5.34,1031,7
Sile,17610,41.1688,29.600651,2024-01-21 23:00:00,0,4.64,1031,7
