Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Buyukcekmece,18099,41.045278,28.59,2023-11-01 00:00:00,0,18.44,1010,3
Buyukcekmece,18099,41.045278,28.59,2023-11-01 01:00:00,0,18.13,1010,3
Buyukcekmece,18099,41.045278,28.59,2023-11-01 02:00:00,0,17.81,1009,2
Buyukcekmece,18099,41.045278,28.59,2023-11-01 03:00:00,0,17.97,1010,4
Buyukcekmece,18099,41.045278,28.59,2023-11-01 04:00:00,0,17.81,1010,3
Buyukcekmece,18099,41.045278,28.59,2023-11-01 05:00:00,0,17.78,1010,3
Buyukcekmece,18099,41.045278,28.59,2023-11-01 06:00:00,0,19.15,1010,3
Buyukcekmece,18099,41.045278,28.59,2023-11-01 07:00:00,0,19.69,1011,3
Buyukcekmece,18099,41.045278,28.59,2023-11-01 08:00:00,0,20.63,1011,3
Buyukcekmece,18099,41.045278,28.59,2023-11-01 09:00:00,0,21.32,1011,4
Buyukcekmece,18099,41.045278,28.59,2023-11-01 10:00:00,0,21.93,1011,2
Buyukcekmece,18099,41.045278,28.59,2023-11-01 11:00:00,0,23.47,1011,2
Buyukcekmece,18099,41.045278,28.59,2023-11-01 12:00:00,0,24.31,1010,4
Buyukcekmece,18099,41.045278,28.59,2023-11-01 13:00:00,0,24.33,1010,3
Buyukcekmece,18099,41.045278,28.59,2023-11-01 14:00:00,0,21.54,1011,4
Buyukcekmece,18099,41.045278,28.59,2023-11-01 15:00:00,0,20.37,1011,4
Buyukcekmece,18099,41.045278,28.59,2023-11-01 16:00:00,0,19.55,1011,5
Buyukcekmece,18099,41.045278,28.59,2023-11-01 17:00:00,0,19.3,1011,4
Buyukcekmece,18099,41.045278,28.59,2023-11-01 18:00:00,0,19.05,1011,4
Buyukcekmece,18099,41.045278,28.59,2023-11-01 19:00:00,0,18.44,1011,5
Buyukcekmece,18099,41.045278,28.59,2023-11-01 20:00:00,0,18.32,1011,5
Buyukcekmece,18099,41.045278,28.59,2023-11-01 21:00:00,0,18.38,1011,5
Buyukcekmece,18099,41.045278,28.59,2023-11-01 22:00:00,0,18.29,1010,5
Buyukcekmece,18099,41.045278,28.59,2023-11-01 23:00:00,0,18.48,1010,4
Buyukcekmece,18099,41.045278,28.59,2023-11-02 00:00:00,0,18.22,1010,3
Buyukcekmece,18099,41.045278,28.59,2023-11-02 01:00:00,0,17.9,1009,3
Buyukcekmece,18099,41.045278,28.59,2023-11-02 02:00:00,0,17.64,1009,3
Buyukcekmece,18099,41.045278,28.59,2023-11-02 03:00:00,0,17.48,1009,3
Buyukcekmece,18099,41.045278,28.59,2023-11-02 04:00:00,0,17.57,1008,3
Buyukcekmece,18099,41.045278,28.59,2023-11-02 05:00:00,0,17.71,1008,3
Buyukcekmece,18099,41.045278,28.59,2023-11-02 06:00:00,0,17.89,1008,1
Buyukcekmece,18099,41.045278,28.59,2023-11-02 07:00:00,1,18.02,1008,3
Buyukcekmece,18099,41.045278,28.59,2023-11-02 08:00:00,1,17.66,1008,2
Buyukcekmece,18099,41.045278,28.59,2023-11-02 09:00:00,0,18.67,1007,2
Buyukcekmece,18099,41.045278,28.59,2023-11-02 10:00:00,0,19.71,1007,3
Buyukcekmece,18099,41.045278,28.59,2023-11-02 11:00:00,0,20.05,1006,3
Buyukcekmece,18099,41.045278,28.59,2023-11-02 12:00:00,0,20.84,1005,3
Buyukcekmece,18099,41.045278,28.59,2023-11-02 13:00:00,0,20.89,1005,2
Buyukcekmece,18099,41.045278,28.59,2023-11-02 14:00:00,0,20.95,1004,2
Buyukcekmece,18099,41.045278,28.59,2023-11-02 15:00:00,0,19.97,1004,2
Buyukcekmece,18099,41.045278,28.59,2023-11-02 16:00:00,0,19.35,1004,2
Buyukcekmece,18099,41.045278,28.59,2023-11-02 17:00:00,0,18.45,1005,1
Buyukcekmece,18099,41.045278,28.59,2023-11-02 18:00:00,0,17.89,1006,1
Buyukcekmece,18099,41.045278,28.59,2023-11-02 19:00:00,0,17.27,1006,1
Buyukcekmece,18099,41.045278,28.59,2023-11-02 20:00:00,0,17.23,1006,1
Buyukcekmece,18099,41.045278,28.59,2023-11-02 21:00:00,0,16.65,1006,1
Buyukcekmece,18099,41.045278,28.59,2023-11-02 22:00:00,0,16.48,1006,1
Buyukcekmece,18099,41.045278,28.59,2023-11-02 23:00:00,0,15.75,1006,2
Buyukcekmece,18099,41.045278,28.59,2023-11-03 00:00:00,0,15.34,1006,1
Buyukcekmece,18099,41.045278,28.59,2023-11-03 01:00:00,0,15.1,1006,0
Buyukcekmece,18099,41.045278,28.59,2023-11-03 02:00:00,0,14.74,1006,1
Buyukcekmece,18099,41.045278,28.59,2023-11-03 03:00:00,0,14.28,1006,1
Buyukcekmece,18099,41.045278,28.59,2023-11-03 04:00:00,0,14.18,1006,1
Buyukcekmece,18099,41.045278,28.59,2023-11-03 05:00:00,0,14.01,1006,0
Buyukcekmece,18099,41.045278,28.59,2023-11-03 06:00:00,0,16.26,1006,2
Buyukcekmece,18099,41.045278,28.59,2023-11-03 07:00:00,0,18.99,1006,3
Buyukcekmece,18099,41.045278,28.59,2023-11-03 08:00:00,0,20.36,1006,4
Buyukcekmece,18099,41.045278,28.59,2023-11-03 09:00:00,0,21.14,1006,5
Buyukcekmece,18099,41.045278,28.59,2023-11-03 10:00:00,0,22.08,1005,5
Buyukcekmece,18099,41.045278,28.59,2023-11-03 11:00:00,0,21.38,1005,4
Buyukcekmece,18099,41.045278,28.59,2023-11-03 12:00:00,0,22.03,1004,4
Buyukcekmece,18099,41.045278,28.59,2023-11-03 13:00:00,0,23.62,1004,5
Buyukcekmece,18099,41.045278,28.59,2023-11-03 14:00:00,0,22.73,1004,4
Buyukcekmece,18099,41.045278,28.59,2023-11-03 15:00:00,0,22.18,1004,4
Buyukcekmece,18099,41.045278,28.59,2023-11-03 16:00:00,0,20.22,1004,2
