Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 00:00:00,0,7.13,1014,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 01:00:00,0,6.27,1014,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 02:00:00,0,6.26,1013,6
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 03:00:00,0,4.09,1013,4
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 04:00:00,0,5.85,1013,5
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 05:00:00,0,5.44,1012,5
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 06:00:00,0,7.06,1012,4
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 07:00:00,0,9.51,1011,6
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 08:00:00,0,10.22,1011,6
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 09:00:00,0,11.7,1010,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 10:00:00,0,12.82,1008,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 11:00:00,0,13.54,1007,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 12:00:00,0,13.48,1006,6
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 13:00:00,0,13.11,1005,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 14:00:00,0,12.99,1004,6
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 15:00:00,0,12.81,1003,6
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 16:00:00,0,12.6,1002,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 17:00:00,0,12.44,1002,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 18:00:00,0,13.43,1000,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 19:00:00,0,13.77,1000,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 20:00:00,0,14.47,999,8
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 21:00:00,0,14.88,999,10
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 22:00:00,0,14.72,998,11
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 23:00:00,0,14.65,999,10
