Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Goztepe,17813,40.979451,29.057147,2024-01-19 00:00:00,0,13.12,1004,8
Goztepe,17813,40.979451,29.057147,2024-01-19 01:00:00,0,11.46,1004,4
Goztepe,17813,40.979451,29.057147,2024-01-19 02:00:00,0,11.66,1004,4
Goztepe,17813,40.979451,29.057147,2024-01-19 03:00:00,0,11.18,1004,2
Goztepe,17813,40.979451,29.057147,2024-01-19 04:00:00,0,12.14,1004,5
Goztepe,17813,40.979451,29.057147,2024-01-19 05:00:00,0,13.29,1004,7
Goztepe,17813,40.979451,29.057147,2024-01-19 06:00:00,0,13.89,1004,8
Goztepe,17813,40.979451,29.057147,2024-01-19 07:00:00,0,13.96,1004,7
Goztepe,17813,40.979451,29.057147,2024-01-19 08:00:00,0,14.8,1005,8
Goztepe,17813,40.979451,29.057147,2024-01-19 09:00:00,0,15.46,1005,7
Goztepe,17813,40.979451,29.057147,2024-01-19 10:00:00,0,16.02,1004,7
Goztepe,17813,40.979451,29.057147,2024-01-19 11:00:00,0,16.23,1004,7
Goztepe,17813,40.979451,29.057147,2024-01-19 12:00:00,0,16.42,1004,7
Goztepe,17813,40.979451,29.057147,2024-01-19 13:00:00,0,16.48,1004,7
Goztepe,17813,40.979451,29.057147,2024-01-19 14:00:00,0,16.23,1004,7
Goztepe,17813,40.979451,29.057147,2024-01-19 15:00:00,0,15.65,1004,6
Goztepe,17813,40.979451,29.057147,2024-01-19 16:00:00,0,15.16,1005,6
Goztepe,17813,40.979451,29.057147,2024-01-19 17:00:00,0,14.64,1005,6
Goztepe,17813,40.979451,29.057147,2024-01-19 18:00:00,0,14.57,1006,7
Goztepe,17813,40.979451,29.057147,2024-01-19 19:00:00,0,13.05,1006,4
Goztepe,17813,40.979451,29.057147,2024-01-19 20:00:00,0,11.67,1007,1
Goztepe,17813,40.979451,29.057147,2024-01-19 21:00:00,0,12.01,1007,1
Goztepe,17813,40.979451,29.057147,2024-01-19 22:00:00,0,12.96,1007,4
Goztepe,17813,40.979451,29.057147,2024-01-19 23:00:00,0,12.56,1008,4
Goztepe,17813,40.979451,29.057147,2024-01-20 00:00:00,0,12.31,1008,4
Goztepe,17813,40.979451,29.057147,2024-01-20 01:00:00,0,12.01,1008,4
Goztepe,17813,40.979451,29.057147,2024-01-20 02:00:00,0,11.58,1008,3
Goztepe,17813,40.979451,29.057147,2024-01-20 03:00:00,0,10.78,1008,1
Goztepe,17813,40.979451,29.057147,2024-01-20 04:00:00,0,10.46,1009,3
Goztepe,17813,40.979451,29.057147,2024-01-20 05:00:00,0,9.69,1009,5
Goztepe,17813,40.979451,29.057147,2024-01-20 06:00:00,0,8.63,1010,4
Goztepe,17813,40.979451,29.057147,2024-01-20 07:00:00,0,8.53,1011,4
Goztepe,17813,40.979451,29.057147,2024-01-20 08:00:00,0,9.25,1011,5
Goztepe,17813,40.979451,29.057147,2024-01-20 09:00:00,0,9.04,1012,6
Goztepe,17813,40.979451,29.057147,2024-01-20 10:00:00,0,8.76,1012,6
Goztepe,17813,40.979451,29.057147,2024-01-20 11:00:00,0,8.12,1012,7
Goztepe,17813,40.979451,29.057147,2024-01-20 12:00:00,0,7.38,1012,7
Goztepe,17813,40.979451,29.057147,2024-01-20 13:00:00,0,6.89,1013,7
Goztepe,17813,40.979451,29.057147,2024-01-20 14:00:00,2,6.4,1013,8
Goztepe,17813,40.979451,29.057147,2024-01-20 15:00:00,0,5.69,1014,9
Goztepe,17813,40.979451,29.057147,2024-01-20 16:00:00,3,4.9,1014,9
Goztepe,17813,40.979451,29.057147,2024-01-20 17:00:00,5,4.09,1015,9
Goztepe,17813,40.979451,29.057147,2024-01-20 18:00:00,4,3.72,1016,8
Goztepe,17813,40.979451,29.057147,2024-01-20 19:00:00,3,3.43,1017,8
Goztepe,17813,40.979451,29.057147,2024-01-20 20:00:00,2,3.63,1018,8
Goztepe,17813,40.979451,29.057147,2024-01-20 21:00:00,2,3.71,1018,8
Goztepe,17813,40.979451,29.057147,2024-01-20 22:00:00,1,3.81,1019,7
Goztepe,17813,40.979451,29.057147,2024-01-20 23:00:00,4,3.99,1020,6
Goztepe,17813,40.979451,29.057147,2024-01-21 00:00:00,2,3.33,1020,6
Goztepe,17813,40.979451,29.057147,2024-01-21 01:00:00,1,3.71,1021,6
Goztepe,17813,40.979451,29.057147,2024-01-21 02:00:00,1,3.74,1021,6
Goztepe,17813,40.979451,29.057147,2024-01-21 03:00:00,0,3.8,1021,6
Goztepe,17813,40.979451,29.057147,2024-01-21 04:00:00,0,3.89,1022,6
Goztepe,17813,40.979451,29.057147,2024-01-21 05:00:00,0,4.06,1022,6
Goztepe,17813,40.979451,29.057147,2024-01-21 06:00:00,0,4.46,1023,5
Goztepe,17813,40.979451,29.057147,2024-01-21 07:00:00,0,5.02,1023,6
Goztepe,17813,40.979451,29.057147,2024-01-21 08:00:00,1,5.9,1024,7
Goztepe,17813,40.979451,29.057147,2024-01-21 09:00:00,0,6.79,1024,7
Goztepe,17813,40.979451,29.057147,2024-01-21 10:00:00,0,6.77,1024,8
Goztepe,17813,40.979451,29.057147,2024-01-21 11:00:00,0,6.48,1024,9
Goztepe,17813,40.979451,29.057147,2024-01-21 12:00:00,0,7.2,1024,7
Goztepe,17813,40.979451,29.057147,2024-01-21 13:00:00,0,6.96,1025,7
Goztepe,17813,40.979451,29.057147,2024-01-21 14:00:00,0,6.66,1025,7
Goztepe,17813,40.979451,29.057147,2024-01-21 15:00:00,0,6.12,1026,7
Goztepe,17813,40.979451,29.057147,2024-01-21 16:00:00,0,5.67,1026,6
Goztepe,17813,40.979451,29.057147,2024-01-21 17:00:00,0,5.53,1027,6
Goztepe,17813,40.979451,29.057147,2024-01-21 18:00:00,0,4.97,1027,7
Goztepe,17813,40.979451,29.057147,2024-01-21 19:00:00,0,4.79,1028,6
Goztepe,17813,40.979451,29.057147,2024-01-21 20:00:00,0,4.86,1028,7
Goztepe,17813,40.979451,29.057147,2024-01-21 21:00:00,0,4.67,1028,5
Goztepe,17813,40.979451,29.057147,2024-01-21 22:00:00,0,4.46,1028,5
Goztepe,17813,40.979451,29.057147,2024-01-21 23:00:00,0,4.42,1028,5
