Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),2_Metre_Cig_Noktasi_Sicakligi(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 00:00:00,0,8.4,8.4,1000,2
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 01:00:00,0,7.87,7.87,999,2
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 02:00:00,0,7.78,7.78,999,3
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 03:00:00,0,7.57,7.57,998,2
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 04:00:00,0,7.31,7.31,998,2
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 05:00:00,0,6.89,6.89,998,1
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 06:00:00,0,7.83,7.83,999,0
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 07:00:00,0,10.14,10.14,999,0
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 08:00:00,0,12.95,12.95,998,2
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 09:00:00,0,14.48,14.48,998,2
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 10:00:00,0,16.02,16.02,997,3
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 11:00:00,0,17.09,17.09,997,3
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 12:00:00,0,18.05,18.05,996,5
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 13:00:00,0,18.8,18.8,995,6
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 14:00:00,0,18.68,18.68,995,5
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 15:00:00,0,18.44,18.44,994,7
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 16:00:00,0,17.63,17.63,994,6
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 17:00:00,0,16.56,16.56,994,5
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 18:00:00,0,16.57,16.57,994,5
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 19:00:00,0,15.92,15.92,994,5
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 20:00:00,0,16.54,16.54,994,5
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 21:00:00,0,16.57,16.57,994,5
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 22:00:00,0,15.86,15.86,993,4
Samandira Havalimani,17065,40.986581,29.213521,2024-11-22 23:00:00,0,18.05,18.05,992,8
Samandira Havalimani,17065,40.986581,29.213521,2024-11-23 00:00:00,0,18.59,18.59,992,9
Samandira Havalimani,17065,40.986581,29.213521,2024-11-23 01:00:00,0,18.87,18.87,992,9
Samandira Havalimani,17065,40.986581,29.213521,2024-11-23 02:00:00,0,18.9,18.9,992,8
Samandira Havalimani,17065,40.986581,29.213521,2024-11-23 03:00:00,0,18.22,18.22,992,6
