Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),2_Metre_Cig_Noktasi_Sicakligi(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Silivri,18400,41.185556,28.1575,2024-11-22 00:00:00,0,6.46,6.46,995,3
Silivri,18400,41.185556,28.1575,2024-11-22 01:00:00,0,2.38,2.38,994,3
Silivri,18400,41.185556,28.1575,2024-11-22 02:00:00,0,2.25,2.25,994,3
Silivri,18400,41.185556,28.1575,2024-11-22 03:00:00,0,2.12,2.12,994,3
Silivri,18400,41.185556,28.1575,2024-11-22 04:00:00,0,2.2,2.2,994,3
Silivri,18400,41.185556,28.1575,2024-11-22 05:00:00,0,2.81,2.81,993,4
Silivri,18400,41.185556,28.1575,2024-11-22 06:00:00,0,5.67,5.67,994,3
Silivri,18400,41.185556,28.1575,2024-11-22 07:00:00,0,10.3,10.3,994,4
Silivri,18400,41.185556,28.1575,2024-11-22 08:00:00,0,11.65,11.65,994,5
Silivri,18400,41.185556,28.1575,2024-11-22 09:00:00,0,12.67,12.67,993,5
Silivri,18400,41.185556,28.1575,2024-11-22 10:00:00,0,13.81,13.81,992,5
Silivri,18400,41.185556,28.1575,2024-11-22 11:00:00,0,13.9,13.9,992,5
Silivri,18400,41.185556,28.1575,2024-11-22 12:00:00,0,14.8,14.8,991,5
Silivri,18400,41.185556,28.1575,2024-11-22 13:00:00,0,14.71,14.71,990,5
Silivri,18400,41.185556,28.1575,2024-11-22 14:00:00,0,13.74,13.74,990,4
Silivri,18400,41.185556,28.1575,2024-11-22 15:00:00,0,11.93,11.93,989,5
Silivri,18400,41.185556,28.1575,2024-11-22 16:00:00,0,14.22,14.22,989,8
Silivri,18400,41.185556,28.1575,2024-11-22 17:00:00,0,14.16,14.16,989,8
Silivri,18400,41.185556,28.1575,2024-11-22 18:00:00,0,13.62,13.62,989,7
Silivri,18400,41.185556,28.1575,2024-11-22 19:00:00,0,14.29,14.29,989,8
Silivri,18400,41.185556,28.1575,2024-11-22 20:00:00,0,14.27,14.27,989,8
Silivri,18400,41.185556,28.1575,2024-11-22 21:00:00,0,14.67,14.67,988,9
Silivri,18400,41.185556,28.1575,2024-11-22 22:00:00,0,15.16,15.16,988,11
Silivri,18400,41.185556,28.1575,2024-11-22 23:00:00,0,15.46,15.46,987,13
Silivri,18400,41.185556,28.1575,2024-11-23 00:00:00,0,15.15,15.15,987,11
Silivri,18400,41.185556,28.1575,2024-11-23 01:00:00,0,14.66,14.66,987,9
Silivri,18400,41.185556,28.1575,2024-11-23 02:00:00,0,14.83,14.83,987,9
Silivri,18400,41.185556,28.1575,2024-11-23 03:00:00,0,15.04,15.04,986,10
Silivri,18400,41.185556,28.1575,2024-11-23 04:00:00,0,15.34,15.34,987,8
Silivri,18400,41.185556,28.1575,2024-11-23 05:00:00,1,15.38,15.38,988,8
Silivri,18400,41.185556,28.1575,2024-11-23 06:00:00,8,7.23,7.23,991,8
Silivri,18400,41.185556,28.1575,2024-11-23 07:00:00,8,4.89,4.89,991,13
Silivri,18400,41.185556,28.1575,2024-11-23 08:00:00,6,2.64,2.64,992,13
Silivri,18400,41.185556,28.1575,2024-11-23 09:00:00,5,1.77,1.77,995,11
Silivri,18400,41.185556,28.1575,2024-11-23 10:00:00,1,1.83,1.83,997,10
Silivri,18400,41.185556,28.1575,2024-11-23 11:00:00,0,4.31,4.31,999,9
Silivri,18400,41.185556,28.1575,2024-11-23 12:00:00,0,5.41,5.41,999,7
Silivri,18400,41.185556,28.1575,2024-11-23 13:00:00,0,5.52,5.52,1000,4
Silivri,18400,41.185556,28.1575,2024-11-23 14:00:00,0,5.18,5.18,1002,2
Silivri,18400,41.185556,28.1575,2024-11-23 15:00:00,0,2.81,2.81,1003,2
Silivri,18400,41.185556,28.1575,2024-11-23 16:00:00,0,2.16,2.16,1003,4
Silivri,18400,41.185556,28.1575,2024-11-23 17:00:00,0,2.38,2.38,1005,5
Silivri,18400,41.185556,28.1575,2024-11-23 18:00:00,0,1.94,1.94,1005,5
Silivri,18400,41.185556,28.1575,2024-11-23 19:00:00,0,1.34,1.34,1006,5
Silivri,18400,41.185556,28.1575,2024-11-23 20:00:00,0,1.24,1.24,1007,6
Silivri,18400,41.185556,28.1575,2024-11-23 21:00:00,0,0.99,0.99,1008,6
Silivri,18400,41.185556,28.1575,2024-11-23 22:00:00,0,1.04,1.04,1009,6
Silivri,18400,41.185556,28.1575,2024-11-23 23:00:00,0,1.37,1.37,1010,8
Silivri,18400,41.185556,28.1575,2024-11-24 00:00:00,0,1.12,1.12,1010,8
Silivri,18400,41.185556,28.1575,2024-11-24 01:00:00,0,0.67,0.67,1011,7
Silivri,18400,41.185556,28.1575,2024-11-24 02:00:00,0,0.78,0.78,1012,8
Silivri,18400,41.185556,28.1575,2024-11-24 03:00:00,0,0.48,0.48,1012,7
Silivri,18400,41.185556,28.1575,2024-11-24 04:00:00,0,0.28,0.28,1013,6
Silivri,18400,41.185556,28.1575,2024-11-24 05:00:00,0,0.38,0.38,1014,6
Silivri,18400,41.185556,28.1575,2024-11-24 06:00:00,0,1.62,1.62,1015,7
Silivri,18400,41.185556,28.1575,2024-11-24 07:00:00,0,3.36,3.36,1015,6
Silivri,18400,41.185556,28.1575,2024-11-24 08:00:00,0,4.35,4.35,1014,7
Silivri,18400,41.185556,28.1575,2024-11-24 09:00:00,0,5.17,5.17,1015,7
Silivri,18400,41.185556,28.1575,2024-11-24 10:00:00,0,6.2,6.2,1014,6
Silivri,18400,41.185556,28.1575,2024-11-24 11:00:00,0,6.58,6.58,1014,5
Silivri,18400,41.185556,28.1575,2024-11-24 12:00:00,0,6.58,6.58,1013,5
Silivri,18400,41.185556,28.1575,2024-11-24 13:00:00,0,6.37,6.37,1013,4
Silivri,18400,41.185556,28.1575,2024-11-24 14:00:00,0,4.43,4.43,1013,2
Silivri,18400,41.185556,28.1575,2024-11-24 15:00:00,0,1.08,1.08,1013,3
Silivri,18400,41.185556,28.1575,2024-11-24 16:00:00,0,0.92,0.92,1013,2
Silivri,18400,41.185556,28.1575,2024-11-24 17:00:00,0,0.89,0.89,1013,2
Silivri,18400,41.185556,28.1575,2024-11-24 18:00:00,0,0.91,0.91,1013,2
Silivri,18400,41.185556,28.1575,2024-11-24 19:00:00,0,1.2,1.2,1012,2
Silivri,18400,41.185556,28.1575,2024-11-24 20:00:00,0,1.27,1.27,1012,2
Silivri,18400,41.185556,28.1575,2024-11-24 21:00:00,0,1.31,1.31,1011,2
Silivri,18400,41.185556,28.1575,2024-11-24 22:00:00,0,0.67,0.67,1011,3
Silivri,18400,41.185556,28.1575,2024-11-24 23:00:00,0,0.27,0.27,1011,3
