Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 00:00:00,0,13.37,1002,10
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 01:00:00,0,13.71,1002,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 02:00:00,0,13.11,1001,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 03:00:00,0,13.73,1001,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 04:00:00,0,13.72,1001,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 05:00:00,0,14.1,1001,9
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 06:00:00,0,14.04,1002,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 07:00:00,0,14.53,1002,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 08:00:00,0,15.11,1002,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 09:00:00,0,16.17,1002,9
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 10:00:00,0,16.95,1002,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 11:00:00,0,17.6,1002,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 12:00:00,0,17.99,1002,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 13:00:00,0,18.17,1002,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 14:00:00,0,17.73,1002,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 15:00:00,0,16.69,1002,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 16:00:00,0,15.84,1002,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 17:00:00,0,15.05,1003,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 18:00:00,0,14.39,1003,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 19:00:00,0,14.0,1004,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 20:00:00,0,13.69,1004,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 21:00:00,0,13.07,1005,3
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 22:00:00,0,12.77,1005,2
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 23:00:00,0,11.89,1005,2
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 00:00:00,0,11.49,1005,2
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 01:00:00,0,11.32,1005,1
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 02:00:00,0,10.81,1006,2
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 03:00:00,0,11.69,1006,4
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 04:00:00,0,11.72,1006,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 05:00:00,0,9.27,1007,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 06:00:00,0,8.54,1008,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 07:00:00,0,8.78,1009,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 08:00:00,0,9.51,1009,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 09:00:00,0,9.36,1010,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 10:00:00,0,8.71,1010,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 11:00:00,0,7.99,1010,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 12:00:00,0,7.19,1011,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 13:00:00,0,6.72,1011,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 14:00:00,1,6.26,1011,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 15:00:00,1,5.7,1012,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 16:00:00,2,5.1,1012,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 17:00:00,3,4.82,1014,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 18:00:00,3,4.17,1014,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 19:00:00,3,4.08,1015,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 20:00:00,1,4.1,1016,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 21:00:00,2,4.21,1016,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 22:00:00,2,4.32,1017,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 23:00:00,4,4.26,1018,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 00:00:00,2,3.94,1018,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 01:00:00,2,4.05,1018,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 02:00:00,1,4.26,1019,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 03:00:00,0,4.32,1019,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 04:00:00,1,4.43,1020,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 05:00:00,0,4.64,1020,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 06:00:00,0,5.23,1020,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 07:00:00,0,6.16,1021,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 08:00:00,0,6.76,1021,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 09:00:00,0,7.34,1022,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 10:00:00,0,7.54,1022,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 11:00:00,0,7.66,1022,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 12:00:00,0,7.12,1022,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 13:00:00,0,7.33,1022,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 14:00:00,0,6.94,1023,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 15:00:00,0,6.29,1023,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 16:00:00,0,5.99,1024,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 17:00:00,0,5.83,1024,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 18:00:00,0,5.88,1025,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 19:00:00,0,5.55,1025,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 20:00:00,0,5.3,1026,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 21:00:00,0,5.2,1026,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 22:00:00,0,5.08,1026,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 23:00:00,0,4.91,1026,5
