Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 00:00:00,0,13.37,1002,10
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 01:00:00,0,13.78,1002,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 02:00:00,0,13.09,1001,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 03:00:00,0,13.5,1001,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 04:00:00,0,13.34,1001,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 05:00:00,0,13.45,1001,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 06:00:00,0,13.79,1002,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 07:00:00,0,14.13,1002,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 08:00:00,0,15.4,1002,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 09:00:00,0,16.36,1003,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 10:00:00,0,17.01,1002,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 11:00:00,0,17.63,1002,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 12:00:00,0,17.81,1002,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 13:00:00,0,17.9,1002,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 14:00:00,0,18.08,1002,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 15:00:00,0,16.78,1002,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 16:00:00,0,15.96,1002,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 17:00:00,0,15.45,1003,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 18:00:00,0,15.33,1003,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 19:00:00,0,14.63,1004,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 20:00:00,0,13.92,1004,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 21:00:00,0,13.67,1005,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 22:00:00,0,13.45,1005,4
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-19 23:00:00,0,12.36,1005,2
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 00:00:00,0,11.68,1006,2
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 01:00:00,0,11.18,1006,2
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 02:00:00,0,11.06,1006,3
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 03:00:00,0,11.14,1006,3
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 04:00:00,0,10.86,1006,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 05:00:00,0,9.78,1007,4
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 06:00:00,0,8.92,1008,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 07:00:00,0,8.64,1009,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 08:00:00,0,8.8,1009,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 09:00:00,0,8.96,1010,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 10:00:00,0,8.68,1010,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 11:00:00,0,8.2,1010,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 12:00:00,0,7.56,1010,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 13:00:00,1,6.6,1011,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 14:00:00,1,6.06,1011,9
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 15:00:00,2,5.52,1012,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 16:00:00,4,5.02,1012,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 17:00:00,3,4.49,1013,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 18:00:00,3,3.75,1014,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 19:00:00,2,3.85,1015,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 20:00:00,2,3.92,1016,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 21:00:00,0,4.08,1016,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 22:00:00,1,4.28,1017,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-20 23:00:00,2,4.28,1018,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 00:00:00,2,3.9,1018,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 01:00:00,1,3.85,1018,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 02:00:00,0,3.94,1019,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 03:00:00,1,4.03,1019,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 04:00:00,0,4.22,1020,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 05:00:00,0,4.32,1020,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 06:00:00,0,4.88,1021,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 07:00:00,0,5.49,1021,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 08:00:00,0,6.16,1022,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 09:00:00,0,6.51,1022,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 10:00:00,0,6.5,1022,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 11:00:00,0,6.61,1022,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 12:00:00,0,6.82,1022,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 13:00:00,0,6.68,1023,8
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 14:00:00,0,6.47,1023,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 15:00:00,0,5.9,1024,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 16:00:00,0,5.62,1024,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 17:00:00,0,5.39,1025,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 18:00:00,0,5.17,1025,7
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 19:00:00,0,5.11,1026,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 20:00:00,0,4.83,1026,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 21:00:00,0,4.73,1026,6
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 22:00:00,0,4.51,1026,5
Gungoren/Davutpasa,17814,41.0266,28.8853,2024-01-21 23:00:00,0,4.28,1026,5
