Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Beykoz,18396,41.141667,29.073889,2024-11-22 00:00:00,0,8.22,1015,2
Beykoz,18396,41.141667,29.073889,2024-11-22 01:00:00,0,5.87,1014,2
Beykoz,18396,41.141667,29.073889,2024-11-22 02:00:00,0,6.09,1013,1
Beykoz,18396,41.141667,29.073889,2024-11-22 03:00:00,0,6.03,1013,1
Beykoz,18396,41.141667,29.073889,2024-11-22 04:00:00,0,5.17,1013,2
Beykoz,18396,41.141667,29.073889,2024-11-22 05:00:00,0,5.7,1013,1
Beykoz,18396,41.141667,29.073889,2024-11-22 06:00:00,0,7.48,1013,1
Beykoz,18396,41.141667,29.073889,2024-11-22 07:00:00,0,9.95,1013,1
Beykoz,18396,41.141667,29.073889,2024-11-22 08:00:00,0,12.04,1012,2
Beykoz,18396,41.141667,29.073889,2024-11-22 09:00:00,0,14.25,1012,3
Beykoz,18396,41.141667,29.073889,2024-11-22 10:00:00,0,15.63,1011,4
Beykoz,18396,41.141667,29.073889,2024-11-22 11:00:00,0,16.38,1010,5
Beykoz,18396,41.141667,29.073889,2024-11-22 12:00:00,0,17.28,1010,5
Beykoz,18396,41.141667,29.073889,2024-11-22 13:00:00,0,17.67,1009,5
Beykoz,18396,41.141667,29.073889,2024-11-22 14:00:00,0,16.93,1008,4
Beykoz,18396,41.141667,29.073889,2024-11-22 15:00:00,0,16.87,1008,5
Beykoz,18396,41.141667,29.073889,2024-11-22 16:00:00,0,18.75,1007,7
Beykoz,18396,41.141667,29.073889,2024-11-22 17:00:00,0,18.66,1008,8
Beykoz,18396,41.141667,29.073889,2024-11-22 18:00:00,0,18.65,1007,9
Beykoz,18396,41.141667,29.073889,2024-11-22 19:00:00,0,18.55,1007,10
Beykoz,18396,41.141667,29.073889,2024-11-22 20:00:00,0,18.02,1007,8
Beykoz,18396,41.141667,29.073889,2024-11-22 21:00:00,0,18.14,1007,9
Beykoz,18396,41.141667,29.073889,2024-11-22 22:00:00,0,18.24,1006,9
Beykoz,18396,41.141667,29.073889,2024-11-22 23:00:00,0,18.64,1006,10
Beykoz,18396,41.141667,29.073889,2024-11-23 00:00:00,0,18.85,1006,10
Beykoz,18396,41.141667,29.073889,2024-11-23 01:00:00,0,18.9,1005,9
Beykoz,18396,41.141667,29.073889,2024-11-23 02:00:00,0,18.65,1005,8
Beykoz,18396,41.141667,29.073889,2024-11-23 03:00:00,0,18.18,1006,7
Beykoz,18396,41.141667,29.073889,2024-11-23 04:00:00,0,17.99,1005,8
Beykoz,18396,41.141667,29.073889,2024-11-23 05:00:00,0,17.96,1006,8
Beykoz,18396,41.141667,29.073889,2024-11-23 06:00:00,5,18.79,1006,9
Beykoz,18396,41.141667,29.073889,2024-11-23 07:00:00,7,8.51,1011,10
Beykoz,18396,41.141667,29.073889,2024-11-23 08:00:00,8,6.2,1013,9
Beykoz,18396,41.141667,29.073889,2024-11-23 09:00:00,6,5.41,1015,9
Beykoz,18396,41.141667,29.073889,2024-11-23 10:00:00,4,3.88,1015,8
Beykoz,18396,41.141667,29.073889,2024-11-23 11:00:00,2,4.87,1018,6
Beykoz,18396,41.141667,29.073889,2024-11-23 12:00:00,0,5.4,1019,4
Beykoz,18396,41.141667,29.073889,2024-11-23 13:00:00,1,6.14,1019,3
Beykoz,18396,41.141667,29.073889,2024-11-23 14:00:00,0,6.5,1021,2
Beykoz,18396,41.141667,29.073889,2024-11-23 15:00:00,0,6.74,1021,4
